cui,cui_name,class_type,hpo,hpo_name
C0030486,Paraplegia,Concept,HP:0010550,Paraplegia
C0266071,Rotation of tooth,Concept,,
C0261578,"Surgical operation with transplant of whole organ causing abnormal patient reaction, or later complication, without mention of misadventure at time of operation",Concept,,
C0261579,"Surgical operation with implant of artificial internal device causing abnormal patient reaction, or later complication,without mention of misadventure at time of operation",Concept,,
C0261577,"Surgical operation and other surgical procedures as the cause of abnormal reaction of the patient, or of later complication, without mention of misadventure at the time of the procedure",Concept,,
C0261575,Other specified misadventures during medical care,Concept,,
C0261573,Injury due to failure to introduce or to remove other tube or instrument,Concept,,
C0158889,"Foetal growth retardation, unspecified, 1,750-1,999 grams",Concept,,
C0158888,"Foetal growth retardation, unspecified, 1,500-1,749 grams",Concept,,
C0158887,"Foetal growth retardation, unspecified, 1,250-1,499 grams",Concept,,
C0157965,"Osteoarthrosis, unspecified whether generalized or localized, lower leg",Concept,,
C0157964,"Osteoarthrosis, unspecified whether generalized or localized, pelvic region and thigh",Concept,,
C0157961,"Osteoarthrosis, unspecified whether generalized or localized, involving upper arm",Concept,,
C0159131,Other nonspecific abnormal findings,Concept,,
C0159132,Nonspecific abnormal toxicological findings,Concept,,
C0159135,Other abnormal clinical findings,Concept,,
C0159138,Other ill-defined and unknown causes of morbidity and mortality,Concept,,
C0159139,Fracture of vault of skull,Concept,,
C0859273,Spinal cord injury without spinal bone injury,Concept,,
C0154436,Atypical manic disorder,Concept,,
C0154434,"Bipolar I disorder, most recent episode (or current) mixed, in partial or unspecified remission",Concept,,
C0154432,"Bipolar I disorder, most recent episode (or current) mixed, severe, without mention of psychotic behavior",Concept,,
C0154433,"Bipolar I disorder, most recent episode (or current) mixed, severe, specified as with psychotic behavior",Concept,,
C0345010,Atresia and stenosis of aorta,Concept,,
C0041857,unspecified nonpsychotic mental disorder,Concept,,
C0686721,Shaken baby syndrome,Concept,,
C0749794,"Upper Extremity Deformities, Congenital",Concept,,
C0010244,Coxsackie virus infection in conditions classified elsewhere and of unspecified site,Concept,,
C0155214,Hypotrichosis of eyelid,Concept,,
C0008475,Chondromalacia Patellae,Concept,,
C0260825,Other reasons for seeking consultation,Concept,,
C0260823,Encounter for dietary surveillance and counseling,Concept,,
C0260821,Encounter due to Healthy person accompanying sick person,Concept,,
C0260820,Other persons seeking consultation,Concept,,
C0260828,Encounter due to convalescence after chemotherapy,Concept,,
C0153307,Conjunctivitis due to acquired toxoplasmosis,Concept,,
C0156157,Other specified intestinal obstruction,Concept,,
C0156156,Gallstone ileus,Concept,,
C0272647,Closed fracture of distal end of ulna,Concept,,
C0156158,Intestinal or peritoneal adhesions with obstruction (postoperative) (postinfection),Concept,,
C0153308,Toxoplasmosis chorioretinitis,Concept,,
C0158468,Acquired varus deformity of wrist,Concept,,
C0157687,"Carbuncle and furuncle of leg, except foot",Concept,,
C0158461,Acquired claw foot,Concept,,
C0158463,Other acquired deformities of limbs,Concept,,
C0158467,Acquired valgus deformity of wrist,Concept,,
C0272468,Closed subcondylar fracture of mandible,Concept,,
C0272469,Closed fracture of ramus of mandible,Concept,,
C0158799,Fetus or newborn affected by maternal conditions which may be unrelated to present pregnancy,Concept,,
C0018991,Hemiplegia,Concept,HP:0002301,Hemiplegia
C0158797,Congenital anomaly of adrenal gland,Concept,,
C0158795,Other and unspecified congenital anomalies,Concept,,
C0158794,Balanced autosomal translocation in normal individual,Concept,,
C0027719,Nephrosclerosis,Concept,HP:0009741,Nephrosclerosis
C0003564,Aphonia,Concept,HP:0001686,Loss of voice
C0033790,Pseudobulbar Palsy,Concept,HP:0007024,Pseudobulbar paralysis
C0495615,Congenital abnormality of skull and face bones,Concept,,
C1135298,Encounter for aftercare following surgery for neoplasm,Concept,,
C1135299,Encounter for aftercare following surgery for injury and trauma,Concept,,
C0395986,Other chronic sinusitis,Concept,,
C0032227,Pleural effusion disorder,Concept,HP:0002202,Pleural effusion
C1135297,Aftercare following joint replacement,Concept,,
C0035021,Relapsing Fever,Concept,,
C0302397,"Other hamartoses, not elsewhere classified",Concept,,
C0476681,Encounter for HIV Counseling,Concept,,
C0016842,Congenital pectus excavatum,Concept,,
C0436064,Other injury of external genitals,Concept,,
C0042928,Vocal Cord Paralysis,Concept,HP:0001605,Vocal cord paralysis
C0006285,Bronchopneumonia,Concept,,
C0476359,Nonspecific (abnormal) findings on radiological and other examination of skull and head,Concept,,
C0029849,Other spinocerebellar diseases,Concept,,
C0029844,Other specified visual disturbances,Concept,,
C0700498,Encounter due to parent-child conflict,Concept,,
C0029841,Other specified viral exanthemata,Concept,,
C0029842,Other specified viral infection,Concept,,
C0029843,Other specified viral meningitis,Concept,,
C0040409,Tongue Diseases,Concept,,
C0476235,"symptoms concerning nutrition, metabolism, and development",Concept,,
C0476232,Jaundice (not of newborn),Concept,,
C1320640,Peripheral degeneration of retina,Concept,HP:0007769,Peripheral retinal degeneration
C0011636,Dermatophytosis,Concept,,
C0851225,Hemangiomas and lymphangiomas of any site,Concept,,
C0452136,"Conductive hearing loss, bilateral",Concept,HP:0008513,Bilateral conductive hearing impairment
C0452138,"Sensorineural hearing loss, bilateral",Concept,HP:0008619,Bilateral sensorineural hearing impairment
C0265041,External hemorrhoids without complication,Concept,,
C0155118,Corneal degeneration,Concept,HP:0007705,Corneal degeneration
C0155119,Recurrent erosion of cornea,Concept,HP:0000495,Recurrent corneal erosions
C0155449,Acute petrositis,Concept,,
C0155447,Chronic mastoiditis,Concept,,
C0155441,Chronic atticoantral suppurative otitis media,Concept,,
C0013390,Dysmenorrhea,Concept,HP:0100607,Dysmenorrhea
C0338715,Drug-induced depressive state,Concept,,
C0011302,Demyelinating disease of central nervous system,Concept,,
C0004106,Astigmatism,Concept,HP:0000483,Astigmatism
C0261427,Accidental poisoning by primarily systemic agents,Concept,,
C0451998,Sunburn of second degree,Concept,,
C0273259,Open wound of scalp without complication,Concept,,
C0152460,Balanitis xerotica obliterans,Concept,,
C0005411,Biliary Atresia,Concept,HP:0005242,Extrahepatic biliary duct atresia
C0375643,"Open wound of auditory canal, uncomplicated",Concept,,
C0153512,"Malignant neoplasm of vertebral column, excluding sacrum and coccyx",Concept,,
C0375641,"Open wound of external ear, unspecified site, uncomplicated",Concept,,
C0153517,Malignant neoplasm of long bones of lower limb,Concept,,
C0153519,"Malignant neoplasm of connective and other soft tissue, site unspecified",Concept,,
C0261409,Accidental poisoning by antidepressants,Concept,,
C0040249,White Piedra,Concept,,
C0014089,Functional encopresis,Concept,,
C0339440,Other retinal detachments,Concept,,
C0036117,Salmonella infections,Concept,,
C0036114,Salmonella food poisoning,Concept,,
C0018051,Gonadal Dysgenesis,Concept,HP:0000133,Gonadal dysgenesis
C0022548,Keloid,Concept,HP:0010562,Keloids
C0496739,,,,
C0859860,Anaphylactic shock due to milk products,Concept,,
C0264492,Chronic respiratory failure,Concept,,
C0264490,Acute respiratory failure,Concept,,
C0264491,Acute-on-chronic respiratory failure,Concept,,
C0494776,Other specified functional intestinal disorders,Concept,,
C0348461,Other adrenocortical overactivity,Concept,,
C0160122,Concussion with less than 1 hour loss of consciousness,Concept,,
C0160121,Concussion with no loss of consciousness,Concept,,
C0160126,Concussion with loss of consciousness,Concept,,
C0038814,Sunburn,Concept,,
C0033893,Tension Headache,Concept,HP:0012228,Tension-type headache
C0028856,Ocular Torticollis,Concept,,
C0028850,Ocular Motility Disorders,Concept,,
C0949152,Vascular complications of other vessels,Concept,,
C0002390,Extrinsic allergic alveolitis,Concept,HP:0006516,Hypersensitivity pneumonitis
C0158634,Partial anomalous pulmonary venous connection,Concept,HP:0010773,Partial anomalous pulmonary venous return
C1955545,infection due to central venous catheter,Concept,,
C0158632,Anomalies of great veins,Concept,,
C0158638,Congenital anomaly of cerebrovascular system,Concept,,
C0480147,Travel and motion as an external cause of morbidity and mortality,Concept,,
C0160346,Injury to stomach without mention of open wound into cavity,Concept,,
C0017677,"Glossitis, Benign Migratory",Concept,,
C0017675,Glossitis,Concept,HP:0000206,Glossitis
C0160349,"Injury to small intestine, unspecified site, without open wound into cavity",Concept,,
C0274041,Burn of shoulder,Concept,,
C0029454,Osteopetrosis,Concept,HP:0011002,Osteopetrosis
C0432554,Letterer-Siwe disease of lymph nodes of multiple sites,Concept,,
C0432552,Letterer-Siwe disease of intrapelvic lymph nodes,Concept,,
C0260795,no other household member able to render care,Concept,,
C0260796,Encounter due to Holiday relief care,Concept,,
C0260791,"Housing, household, and economic circumstances",Concept,,
C0260793,Encounter due to inadequate housing,Concept,,
C0260799,Unspecified housing or economic circumstance,Concept,,
C0260798,Encounter due to other specified housing or economic circumstances,Concept,,
C0153663,Malignant neoplasm of pelvis,Concept,,
C0155325,Alternating esotropia with A pattern,Concept,,
C0155324,Monocular esotropia with noncommitance other than A OR V pattern,Concept,,
C0155327,Alternating esotropia with noncommitance other than A OR V pattern,Concept,,
C0155326,Alternating esotropia with V pattern,Concept,,
C0158241,Cervical spondylosis without myelopathy,Concept,,
C0155320,"Blindness, Cortical",Concept,,
C0155323,Monocular esotropia with V pattern,Concept,,
C0155322,Monocular esotropia with A pattern,Concept,,
C0153665,malignant neoplasm of lower limb,Concept,,
C0158249,Other allied disorders of spine,Concept,,
C0029679,Other obstruction of duodenum,Concept,,
C0029678,Other non-thrombocytopenic purpura,Concept,,
C0003044,Animal bite,Concept,,
C0027066,Myoclonus,Concept,HP:0001336,Myoclonus
C0869098,"Other adverse food reactions, not elsewhere classified in ICD10CM",Concept,,
C0149931,Migraine Disorders,Concept,HP:0002076,Migraine
C0261770,Other specified antibiotics causing adverse effects in therapeutic use,Concept,,
C0261771,Unspecified antibiotic causing adverse effects in therapeutic use,Concept,,
C0261773,Adverse reaction to sulfonamides,Concept,,
C0154666,Cerebral degeneration of childhood in other diseases classified elsewhere,Concept,,
C0261778,Other antiprotozoal drugs causing adverse effects in therapeutic use,Concept,,
C0007815,Cerebrospinal Fluid Rhinorrhea,Concept,,
C0154661,Intraspinal abscess,Concept,,
C0154631,Other specific developmental reading disorder,Concept,,
C0261516,"Injury due to unintentional cut, puncture, perforation or haemorrhage during endoscopic examination",Concept,,
C0261517,"Injury due to unintentional cut, puncture, perforation or haemorrhage during aspiration, puncture and other catheterization",Concept,,
C0261510,Accidental poisoning by unspecified gases and vapors,Concept,,
C0154635,Other specified delays in development,Concept,,
C0154637,"psychic; factor, associated with diseases classified elsewhere",Concept,,
C0154639,Streptococcal meningitis,Concept,,
C0261518,"Injury due to unintentional cut, puncture, perforation or haemorrhage during heart catheterization",Concept,,
C0155853,Cellulitis and perichondritis of larynx,Concept,,
C0155852,Other diseases of vocal cords,Concept,,
C0155851,Polyp of vocal cord or larynx,Concept,,
C0155850,Bilateral total vocal cord paralysis,Concept,,
C0155858,Other bacterial pneumonia,Concept,,
C0039445,Hereditary hemorrhagic telangiectasia,Concept,,
C0159117,Nonspecific abnormal results of other endocrine function study,Concept,,
C0473508,Delayed Postpartum Hemorrhage,Concept,,
C0154454,"Unspecified childhood psychosis, residual state",Concept,,
C0154455,Other anxiety states,Concept,,
C0154456,Other and unspecified factitious illness,Concept,,
C0154983,Traumatic cataract,Concept,,
C0154452,"Other specified pervasive developmental disorders, residual state",Concept,,
C0154453,"Unspecified childhood psychosis, current or active state",Concept,,
C0041834,Erythema,Concept,HP:0010783,Erythema
C0041831,Unspecified drug or medicinal substance causing adverse effects in therapeutic use,Concept,,
C0036323,Schistosomiasis,Concept,,
C0024005,Acquired postural lordosis,Concept,,
C3161335,Other anaphylactic reaction,Concept,,
C3161330,Profound intellectual disabilities,Concept,HP:0002187,"Intellectual disability, profound"
C3161331,Unspecified intellectual disabilities,Concept,,
C0002946,Aneurysm NEC,Concept,,
C1719580,"Coagulation defects complicating pregnancy, childbirth, or the puerperium, unspecified as to episode of care or not applicable",Concept,,
C1719586,"Epilepsy complicating pregnancy, childbirth, or the puerperium, unspecified as to episode of care or not applicable",Concept,,
C2911064,"Body mass index (BMI) pediatric, 5th percentile to less than 85th percentile for age",Concept,,
C2911065,"Body mass index (BMI) pediatric, 85th percentile to less than 95th percentile for age",Concept,,
C2911066,"Body mass index (BMI) pediatric, greater than or equal to 95th percentile for age",Concept,,
C2911062,"body mass index, pediatric",Concept,,
C2911063,"Body mass index (BMI) pediatric, less than 5th percentile for age",Concept,,
C0423729,Chest pain on breathing,Concept,,
C0260807,Encounter due to legal circumstances,Concept,,
C1456285,Alcohol-induced mental disorders,Concept,,
C0156171,Vomiting following gastrointestinal surgery,Concept,,
C0156175,Anal fissure and fistula,Concept,,
C0153987,"Benign neoplasm of skin of trunk, excluding scrotum",Concept,,
C0153986,Benign neoplasm of scalp and skin of neck,Concept,,
C0153985,Benign neoplasm of skin of other and unspecified parts of face,Concept,,
C0272665,Closed fracture of triquetral bone of wrist,Concept,,
C0153983,Benign neoplasm of eyelid including canthus,Concept,,
C0153982,Benign neoplasm of skin of lip,Concept,,
C0153981,Other benign neoplasm of connective and other soft tissue of other specified sites,Concept,,
C1318552,Nontraumatic extradural hemorrhage,Concept,,
C0153989,Benign neoplasm of skin of hip and lower limb,Concept,,
C0153988,Benign neoplasm of skin of upper limb or shoulder NOS,Concept,,
C0029813,Other specified local infections of skin and subcutaneous tissue,Concept,,
C0159800,Open fracture of multiple sites of phalanx or phalanges of hand,Concept,,
C0158406,"Periostitis without mention of osteomyelitis, of the ankle and/or foot",Concept,,
C0159802,Closed multiple fractures of hand bones,Concept,,
C0159142,"Closed fracture of vault of skull without mention of intracranial injury, with no loss of consciousness",Concept,,
C0159804,Ill-defined fractures of upper limb,Concept,,
C0159805,Closed ill-defined fractures of upper limb,Concept,,
C0554588,"Effusion of joint, pelvic region and thigh",Concept,,
C1812606,"Burn, unspecified site",Concept,,
C0272443,"Elbow, forearm, and wrist injury",Concept,,
C0085548,Autosomal Recessive Polycystic Kidney Disease,Concept,,
C0496946,Neoplasm of uncertain or unknown behavior of pineal gland,Concept,,
C1135270,disruption of external operation wound,Concept,,
C1135271,Contact with or exposure to anthrax,Concept,,
C0161759,Mechanical complication of cardiac pacemaker,Concept,,
C0161751,Asphyxiation and strangulation,Concept,,
C0417584,"Accident due to privation, unqualified",Concept,,
C0151583,Abnormality of the cerebrospinal fluid,Concept,HP:0002921,Abnormality of the cerebrospinal fluid
C2939130,Other bacterial diseases,Concept,,
C0159751,Open fracture of unspecified part of radius (alone),Concept,,
C0153720,"Other named variants of lymphosarcoma and reticulosarcoma, lymph nodes of head, face, and neck",Concept,,
C0432769,Contusion of hand,Concept,,
C0432763,Contusion of elbow,Concept,,
C0432762,Contusion of forearm,Concept,,
C0026773,Multiple Personality Disorder,Concept,,
C0151766,Liver function tests abnormal finding,Concept,,
C0017332,Generalized Nonconvulsive Seizure Disorder,Concept,,
C0042900,Vitiligo,Concept,HP:0001045,Vitiligo
C0476376,Nonspecific (abnormal) findings on radiological and other examination of genitourinary organs,Concept,,
C0042909,Vitreous Hemorrhage,Concept,HP:0007902,Vitreous hemorrhage
C0416980,Other fall,Concept,,
C1719694,Attention to dressings and sutures,Concept,,
C0392578,Impairment level: one eye: profound impairment: other eye: not specified (disorder),Concept,,
C0029866,Other ureteric obstruction,Concept,,
C0029867,Other urethritis,Concept,,
C0392611,Closed bimalleolar fracture,Concept,,
C0392618,Postoperative infection,Concept,,
C2362836,"Other forms of migraine, without mention of intractable migraine without mention of status migrainosus",Concept,,
C0520474,Aseptic Necrosis of Bone,Concept,,
C0242343,Panhypopituitarism,Concept,HP:0000871,Panhypopituitarism
C0348586,Other secondary hypertension,Concept,,
C0030567,Parkinson Disease,Concept,,
C0010417,Cryptorchidism,Concept,HP:0000028,Cryptorchidism
C0026654,Moyamoya Disease,Concept,,
C0260588,"Outcome of delivery, other multiple birth, some liveborn",Concept,,
C0155462,Other acute myringitis without mention of otitis media,Concept,,
C0158983,Neonatal thyrotoxicosis,Concept,,
C0155460,Acute myringitis,Concept,,
C0155461,Bullous myringitis,Concept,,
C0158986,Neonatal hypoglycemia,Concept,HP:0001998,Neonatal hypoglycemia
C0158987,Late metabolic acidosis of newborn,Concept,,
C0158984,Hypocalcemia AND/OR hypomagnesemia of newborn,Concept,,
C0155465,Attic perforation of tympanic membrane,Concept,,
C0886366,Encounter due to other acquired absence of organ NEC in ICD9CM,Concept,,
C0260682,Tracheostomy status,Concept,,
C1279573,"Open wound of hip and thigh, without mention of complication",Concept,,
C0021193,Indeterminate sex and pseudohermaphroditism,Concept,,
C0019693,HIV Infections,Concept,,
C0025037,Meckel Diverticulum,Concept,HP:0002245,Meckel diverticulum
C0273099,"Extradural hemorrhage following injury without mention of open intracranial wound, unspecified state of consciousness",Concept,,
C0005656,Bite of other animal except arthropod,Concept,,
C0263841,Hemarthrosis of the ankle and/or foot,Concept,,
C0025295,"Meningitis, Pneumococcal",Concept,,
C0025294,Meningococcal meningitis,Concept,,
C0025297,Viral meningitis,Concept,,
C0236140,ECG abnormalities non-specific,Concept,,
C0158812,Cocaine affecting fetus or newborn via placenta or breast milk,Concept,,
C0152441,Madelung Deformity,Concept,HP:0003067,Madelung deformity
C0152443,Urethral diverticulum,Concept,HP:0008722,Urethral diverticulum
C0158813,Other noxious influences affecting fetus or newborn via placenta or breast milk,Concept,,
C0152444,Hydrorhachis,Concept,HP:0100565,Hydromyelia
C0152115,Lingual-Facial-Buccal Dyskinesia,Concept,HP:0002310,Orofacial dyskinesia
C0273276,Open wound of buccal mucosa without complication,Concept,,
C0273277,"Open wound of gum, uncomplicated",Concept,,
C0273270,"Open wound of lip, uncomplicated",Concept,,
C0273271,"Open wound of jaw, uncomplicated",Concept,,
C0395888,Tympanosclerosis involving tympanic membrane only,Concept,,
C0153532,Malignant melanoma of skin of other and unspecified parts of face,Concept,,
C0158816,Fetal or neonatal effect of maternal complication of pregnancy,Concept,,
C0040261,Onychomycosis,Concept,HP:0012203,Onychomycosis
C0040262,Tinea Versicolor,Concept,,
C0395887,Tympanosclerosis,Concept,,
C0728864,Malignant neoplasm of nasal cavity,Concept,,
C0155829,Enlargement of tonsil or adenoid,Concept,,
C0496716,Family history of diseases of the digestive system,Concept,,
C0042170,Uveomeningoencephalitic Syndrome,Concept,,
C0340712,"Phlebitis and thrombophlebitis of lower extremities, unspecified",Concept,,
C0022568,Keratitis,Concept,HP:0000491,Keratitis
C0687718,Unspecified chronic liver disease without mention of alcohol,Concept,,
C0687719,Autoimmune disease NEC in ICD9CM,Concept,,
C0348483,Other disorders of aromatic amino-acid metabolism,Concept,,
C0733455,Other dissociated deviation of eye movements,Concept,,
C0232498,Abdominal tenderness,Concept,,
C0013338,Pituitary dwarfism,Concept,HP:0000839,Pituitary dwarfism
C0263690,Pyogenic arthritis of multiple sites,Concept,,
C0232493,Epigastric pain,Concept,,
C0949171,Striking against or struck accidentally in running water,Concept,,
C0949172,Other accident caused by striking against or being struck accidentally by objects or persons,Concept,,
C0158618,Congenital stenosis of mitral valve,Concept,HP:0011570,Congenital mitral stenosis
C0158619,Congenital insufficiency of mitral valve,Concept,,
C0158611,Other congenital anomalies of heart,Concept,,
C0158616,Congenital tricuspid atresia and stenosis,Concept,,
C0158617,Congenital insufficiency of aortic valve,Concept,,
C0151970,Ulcer of esophagus,Concept,HP:0004791,Esophageal ulceration
C0151971,Primary ulcer of intestine,Concept,,
C0160362,Injury to rectum without open wound into cavity,Concept,,
C2712996,Acute venous embolism and thrombosis of other specified veins,Concept,,
C0700510,Obstructed diaphragmatic hernia,Concept,,
C0490015,Personal history of other disorders of nervous system and sense organs,Concept,,
C0490014,Personal history of benign neoplasm of the brain,Concept,,
C0490011,Other convulsions,Concept,,
C0490010,Other congenital malformations of abdominal wall,Concept,,
C0029659,Other lymphedema,Concept,,
C0029658,Other lordosis (acquired),Concept,,
C0153977,Other benign neoplasm of connective and other soft tissue of thorax,Concept,,
C0029657,Other localized visual field defect,Concept,,
C0029650,Other keratoconjunctivitis,Concept,,
C0029653,Other kyphosis (acquired),Concept,,
C0029652,Other kyphoscoliosis and scoliosis,Concept,,
C0160819,"Abrasion or friction burn of face, neck, and scalp except eye, without mention of infection",Concept,,
C0160818,"Superficial injury of face, neck, and scalp except eye",Concept,,
C0477355,Extrapyramidal and movement disorders,Concept,,
C0160815,Late effect of complications of procedure,Concept,,
C0160814,Late effect of radiation,Concept,,
C0159564,Closed fracture of C1-C4 level with other specified spinal cord injury,Concept,,
C0868739,"Disorders of impulse control, NEC in ICD9CM_2014",Concept,,
C0261755,Late effect of accidental poisoning,Concept,,
C0016124,Finger Injuries,Concept,,
C0007294,Genetic Carriers,Concept,,
C0031572,"Phobia, Social",Concept,,
C0029633,Other histrionic personality disorder,Concept,,
C0029632,Other hemoglobinopathies,Concept,,
C0268613,Disorder of sulfur-bearing amino acid metabolism,Concept,,
C0375120,"Diabetes with ketoacidosis, type I [juvenile type], uncontrolled",Concept,,
C0154616,Shyness disorder of childhood,Concept,,
C0154614,Misery and unhappiness disorder specific to childhood and adolescence,Concept,,
C0154615,"Sensitivity, shyness, and social withdrawal disorder specific to childhood and adolescence",Concept,,
C0154613,Disturbance of emotions specific to childhood and adolescence,Concept,,
C0154618,Childhood and adolescent relationship problem,Concept,,
C0431943,"Lower Extremity Deformities, Congenital",Concept,,
C0236791,Childhood disintegrative disorder,Concept,,
C0236794,Panic disorder without agoraphobia,Concept,,
C0476247,Symptom of head and neck region,Concept,,
C0477973,Spina bifida with hydrocephalus,Concept,,
C0477972,Other specified congenital malformations of brain,Concept,,
C0477976,Other specified congenital malformations of nervous system,Concept,,
C0477975,Other specified congenital malformations of spinal cord,Concept,,
C0154761,Polyneuropathy in other diseases classified elsewhere,Concept,,
C0268800,Simple renal cyst,Concept,,
C0152614,"Pulmonary tuberculosis, unspecified, bacteriological or histological examination not done",Concept,,
C0152615,"Pulmonary tuberculosis, unspecified, bacteriological or histological examination unknown (at present)",Concept,,
C0030196,Pain in limb,Concept,HP:0009763,Limb pain
C0030197,pain in or around eyes,Concept,,
C0154478,"Opioid type dependence, continuous use",Concept,,
C0433815,"Cortex contusion without mention of open intracranial wound, with unspecified state of consciousness",Concept,,
C0270458,Severe major depression with psychotic features,Concept,,
C0270742,Athetoid cerebral palsy,Concept,HP:0011445,Athetoid cerebral palsy
C0036349,Paranoid Schizophrenia,Concept,,
C0339611,Monofixation syndrome,Concept,,
C0042870,Vitamin D Deficiency,Concept,HP:0100512,Vitamin D deficiency
C0036341,Schizophrenia,Concept,HP:0100753,Schizophrenia
C0010200,Coughing,Concept,HP:0012735,Cough
C0261489,Accidental poisoning by arsenic and its compounds and fumes,Concept,,
C0162429,Malnutrition,Concept,HP:0004395,Malnutrition
C0159850,Closed fracture of patella,Concept,,
C0021051,Immunologic Deficiency Syndromes,Concept,HP:0002721,Immunodeficiency
C0162423,Miliaria Rubra,Concept,,
C0155879,Extrinsic asthma with status asthmaticus,Concept,,
C0155878,Extrinsic asthma without mention of status asthmaticus,Concept,,
C0155871,Influenza with non-respiratory manifestation,Concept,,
C0155870,Pneumonia and influenza,Concept,,
C0155873,Mucopurulent chronic bronchitis,Concept,,
C0155872,Catarrhal bronchitis,Concept,,
C0155875,Obstructive chronic bronchitis without exacerbation,Concept,,
C0155877,Allergic asthma,Concept,,
C0155876,,,,
C0004245,Atrioventricular Block,Concept,HP:0001678,Atrioventricular block
C0038379,Strabismus,Concept,HP:0000486,Strabismus
C0019209,Hepatomegaly,Concept,HP:0002240,Hepatomegaly
C1279296,Chronic leukemia (category),Concept,HP:0005558,Chronic leukemia
C0272609,Closed fracture of humerus,Concept,,
C0156112,"Recurrent bilateral inguinal hernia, without mention of obstruction or gangrene",Concept,,
C0156111,"Bilateral inguinal hernia, without mention of obstruction or gangrene",Concept,,
C0156110,"Inguinal hernia, without mention of obstruction or gangrene, unilateral or unspecified, recurrent",Concept,,
C0155708,Other specified conduction disorders,Concept,,
C1318533,Secondary polycythemia,Concept,,
C0155703,Other left bundle branch block,Concept,,
C0155702,Left bundle branch hemiblock,Concept,,
C0155700,Mobitz type II atrioventricular block,Concept,HP:0011708,Mobitz II atrioventricular block
C0158420,"Other infections involving bone in diseases classified elsewhere, shoulder region",Concept,,
C0159824,"Fracture of intertrochanteric section of femur, closed",Concept,,
C0158428,"Other infections involving bone in diseases classified elsewhere, multiple sites",Concept,,
C0159820,Open fracture of base of neck of femur,Concept,,
C0159821,Other open transcervical fracture of neck of femur,Concept,,
C0240295,Mandibular hypoplasia,Concept,,
C0004692,Balantidiasis,Concept,,
C0019069,Hemophilia A,Concept,,
C0019064,Hemopericardium,Concept,HP:0011851,Hemopericardium
C0019066,Nontraumatic hemoperitoneum,Concept,,
C0019061,Hemolytic-Uremic Syndrome,Concept,HP:0005575,Hemolytic-uremic syndrome
C0451639,Other diseases of blood and blood-forming organs,Concept,,
C0496967,Poisoning by insulin and oral hypoglycemic [antidiabetic] drugs,Concept,,
C0036508,Seborrheic dermatitis,Concept,HP:0001051,Seborrheic dermatitis
C0549117,Frontal lobe syndrome,Concept,,
C1258666,Myxoid cyst,Concept,,
C0161771,"Mechanical complication of other specified prosthetic device, implant, and graft",Concept,,
C0161770,"Mechanical complication of internal orthopedic device, implant and graft",Concept,,
C1135254,Fussy infant (baby),Concept,,
C1135253,bacteremia of newborn,Concept,,
C0161777,"Infection and inflammatory reaction due to internal prosthetic device, implant, and graft",Concept,,
C1135251,Septicemia [sepsis] of newborn,Concept,,
C0161778,"Infection and inflammatory reaction due to unspecified device, implant, and graft",Concept,,
C0376111,Unspecified diseases of conjunctiva due to viruses,Concept,,
C0376115,"Cardiac septal defect, sequela of myocardial infarction",Concept,,
C0013473,Eating Disorders,Concept,,
C0159776,Closed fracture of metacarpal bone,Concept,,
C0153706,Lymphosarcoma of intra-abdominal lymph nodes,Concept,,
C0153708,Lymphosarcoma of lymph nodes of inguinal region and lower limb,Concept,,
C0040034,Thrombocytopenia,Concept,HP:0001873,Thrombocytopenia
C0016807,Functional disorder of intestine,Concept,,
C0016808,Functional disorders of polymorphonuclear neutrophils,Concept,,
C0016809,cardiac functional disturbances following surgery,Concept,,
C0040038,Thromboembolism,Concept,HP:0001907,Thromboembolism
C2931161,Immunoglobulin a deficiency 1,Concept,,
C0042961,Intestinal Volvulus,Concept,HP:0002580,Volvulus
C0476391,Echoencephalogram abnormal,Concept,,
C1561794,Aspiration of clear amniotic fluid without respiratory symptoms,Concept,,
C1561792,Meconium aspiration without respiratory symptoms,Concept,,
C0392558,"Better eye: near total visual impairment, Lesser eye: total visual impairment",Concept,,
C0433039,"Insect bite, nonvenomous, of foot and toe(s), without mention of infection",Concept,,
C0392550,"Hemiplegia, Infantile",Concept,,
C0392553,Hereditary peripheral neuropathy,Concept,,
C0332691,Scalding injury,Concept,,
C0268799,Acquired renal cystic disease,Concept,,
C0345380,Congenital anomaly of sternocleidomastoid muscle,Concept,,
C0034888,Rectal Prolapse,Concept,HP:0002035,Rectal prolapse
C0034880,Hyperacusis,Concept,HP:0010780,Hyperacusis
C2733645,Late effects of other accidents NEC in ICD9CM,Concept,,
C0154287,Iron deficiency anemia secondary to inadequate dietary iron intake,Concept,,
C0154286,Iron deficiency anemia secondary to chronic blood loss,Concept,,
C0154282,Other deficiency of cell-mediated immunity,Concept,,
C0154289,Other vitamin B12 deficiency anemias,Concept,,
C2349669,Necrotizing enterocolitis of newborn,Concept,,
C0026509,Closed Monteggia's fracture,Concept,,
C0260610,"Encounter due to twin birth, mate liveborn, born before admission to hospital",Concept,,
C0260619,"Twin birth, unspecified whether mate liveborn or stillborn, born in hospital, delivered without mention of cesarean section",Concept,,
C0034087,Pulmonary valve disorder,Concept,,
C0034084,Pulmonary Subvalvular Stenosis,Concept,,
C0023529,"Leukomalacia, Periventricular",Concept,HP:0006970,Periventricular leukomalacia
C2355645,Cervicocranial syndrome,Concept,,
