cui,cui_name,curated_name,hpo,hpo_name,hpo_prob
C0158489,Acquired clubfoot,acquired clubfoot,HP:0001762,Talipes equinovarus,0.9956121444702148
C0158488,Other acquired deformities of ankle and foot, acquired deformities of ankle and foot,,,1.0
C0013720,Ehlers-Danlos Syndrome,ehlers-danlos syndrome,,,1.0
C0263820,Recurrent dislocation of ankle AND/OR foot,recurrent dislocation of ankle and/or foot,HP:0005001,Recurrent patellar dislocation,0.9977003931999207
C0012236,DiGeorge Syndrome,digeorge syndrome,HP:0040064,Abnormality of limbs,0.5580092668533325
C1282912,"Juvenile osteochondrosis of lower extremity, excluding foot","juvenile osteochondrosis of lower extremity, excluding foot",,,1.0
C0016751,Hereditary fructose intolerance syndrome,,HP:0005973,Fructose intolerance,1.0
C0157333,"Vulvar and perineal hematoma, unspecified as to episode of care or not applicable","vulvar and perineal hematoma,  as to episode of care or ",HP:0000032,Abnormality of male external genitalia,0.7501692771911621
C0158734,Polydactyly of toes,,HP:0001829,Foot polydactyly,1.0
C0158736,Syndactyly of fingers with fusion of bones,,HP:0010492,Osseous finger syndactyly,1.0
C0158731,Congenital pectus carinatum,,HP:0000768,Pectus carinatum,1.0
C0158730,Other specified nonteratogenic anomalies, specified nonteratogenic anomalies,,,1.0
C0158733,Hand polydactyly,,HP:0001161,Hand polydactyly,1.0
C0158732,Other congenital anomalies of limbs, congenital anomalies of limbs,HP:0009815,Aplasia/hypoplasia of the extremities,0.7679457664489746
C0265973,Vascular hamartoma of skin,vascular hamartoma of skin,,,1.0
C0342115,Non-toxic uninodular goiter,non-toxic uninodular goiter,,,1.0
C0017919,Glycogen Storage Disease,glycogen storage disease,HP:0001939,Abnormality of metabolism/homeostasis,0.6322177648544312
C0795702,Acute mastoiditis without complications,acute mastoiditis ,HP:0000265,Mastoiditis,0.9305276274681091
C0490039,"Streptococcus infection in conditions classified elsewhere and of unspecified site, streptococcus, group D [Enterococcus]","streptococcus infection in conditions classified elsewhere and of  site, streptococcus, group d [enterococcus]",,,1.0
C0238015,Autonomic Dysreflexia,autonomic dysreflexia,HP:0002459,Dysautonomia,0.629067599773407
C0035086,Renal Osteodystrophy,renal osteodystrophy,HP:0011277,Abnormality of the urinary system physiology,0.6055785417556763
C0027873,Neuromyelitis Optica,neuromyelitis optica,HP:0012447,Abnormal myelination,0.9871001243591309
C0036939,Shared Paranoid Disorder,shared paranoid disorder,HP:0000708,Behavioral abnormality,0.7937213182449341
C0409226,"Unspecified monoarthritis, ankle and foot"," monoarthritis, ankle and foot",,,1.0
C0409227,Unspecified monoarthritis involving lower leg, monoarthritis involving lower leg,HP:0006380,Knee flexion contracture,0.6960983276367188
C0031707,Phosphorus Metabolism Disorders,phosphorus metabolism disorders,HP:0001939,Abnormality of metabolism/homeostasis,0.7255796194076538
C0020461,Hyperkalemia,,HP:0002153,Hyperkalemia,1.0
C0013946,Embryonic cyst of fallopian tube and broad ligament,embryonic cyst of fallopian tube and broad ligament,,,1.0
C0261675,Injury caused by animal,injury caused by animal,,,1.0
C0868890,Electrolyte and fluid disorders NEC in ICD9CM_2014,electrolyte and fluid disorders,HP:0003111,Abnormality of ion homeostasis,0.9684960246086121
C0868892,"Depressive disorder, NEC in ICD9CM_2014","depressive disorder,",HP:0000716,Depression,0.9979963898658752
C0264886,Conduction disorder of the heart,conduction disorder of the heart,HP:0011675,Arrhythmia,0.8384759426116943
C0265027,Non-neoplastic nevus of skin,non-neoplastic nevus of skin,,,1.0
C0154739,Other nerve root and plexus disorders, nerve root and plexus disorders,,,1.0
C0837691,"Polyarticular juvenile rheumatoid arthritis, chronic or unspecified","polyarticular juvenile rheumatoid arthritis, chronic or ",HP:0005681,Juvenile rheumatoid arthritis,0.7954822778701782
C0702143,Palsy of conjugate gaze,palsy of conjugate gaze,HP:0000605,Supranuclear gaze palsy,0.9309635162353516
C0375023,Respiratory syncytial virus (RSV) infection in conditions classified elsewhere and of unspecified site,respiratory syncytial virus (rsv) infection in conditions classified elsewhere and of  site,,,1.0
C0702141,Tic of organic origin,tic of organic origin,,,1.0
C0375021,"Human immunodeficiency virus, type 2 [HIV-2] infection in conditions classified elsewhere and of unspecified site","human immunodeficiency virus, type 2 [hiv-2] infection in conditions classified elsewhere and of  site",,,1.0
C0154733,Multiple cranial nerve palsy,multiple cranial nerve palsy,HP:0006824,Cranial nerve paralysis,0.6289370059967041
C0154735,Lumbosacral plexus lesion,lumbosacral plexus lesion,,,1.0
C0154227,"malnutrition; degree, moderate","malnutrition; degree, moderate",,,1.0
C0154223,other endocrine disorders, endocrine disorders,HP:0000818,Abnormality of the endocrine system,0.9727615118026733
C0270131,Fetal death from asphyxia AND/OR anoxia before onset of labor,fetal death from asphyxia and/or anoxia before onset of labor,HP:0001197,Abnormality of prenatal development or birth,0.7972543239593506
C0154221,Other specified polyglandular dysfunction, specified polyglandular dysfunction,HP:0000818,Abnormality of the endocrine system,0.8776440620422363
C0037952,Spinocerebellar Degeneration,spinocerebellar degeneration,HP:0002503,Spinocerebellar tract degeneration,0.999180257320404
C0431681,Renal pelvis and ureter obstructive defects,renal pelvis and ureter obstructive defects,HP:0000069,Abnormality of the ureter,0.7288030385971069
C0154228,"malnutrition; degree, mild","malnutrition; degree, mild",,,1.0
C0452153,"Mixed conductive and sensorineural hearing loss, bilateral","mixed conductive and sensorineural hearing loss, bilateral",HP:0008513,Bilateral conductive hearing impairment,0.5835505723953247
C0159058,Symptoms involving digestive system,symptoms involving digestive system,HP:0011024,Abnormality of the gastrointestinal tract,0.5217962265014648
C0159057,Other symptoms involving respiratory system and chest, symptoms involving respiratory system and chest,,,1.0
C0159056,Abnormal chest sounds,abnormal chest sounds,,,1.0
C0159055,"Swelling, mass, or lump in chest","swelling, mass, or lump in chest",HP:0001547,Abnormality of the rib cage,0.7258414626121521
C0159054,Abnormal sputum,abnormal sputum,HP:0002088,Abnormality of the lung,0.5423989295959473
C0159053,Dyspnea and respiratory abnormalities,dyspnea and respiratory abnormalities,,,1.0
C0159050,Other abnormal heart sounds, abnormal heart sounds,HP:0011675,Arrhythmia,0.8789610862731934
C0595943,"Urinary complications, NEC in ICD9CM_2014","urinary complications,",HP:0000079,Abnormality of the urinary system,0.645671546459198
C0003081,Anisometropia,,HP:0012803,Anisometropia,1.0
C0038662,Suicide and self-inflicted injury by unspecified means,suicide and self-inflicted injury by  means,,,1.0
C0023518,Leukocytosis,,HP:0001974,Leukocytosis,1.0
C0023510,Leukocyte Disorders,leukocyte disorders,HP:0001881,Abnormality of leukocytes,0.7119073867797852
C0477373,Other forms of migraine, forms of migraine,HP:0002076,Migraine,0.6679272651672363
C0036285,Scarlet Fever,scarlet fever,HP:0001945,Fever,0.8401613831520081
C0155676,Pulmonary artery aneurysm,,HP:0004937,Pulmonary artery aneurysm,1.0
C0008513,Chorioretinitis,,HP:0012424,Chorioretinitis,1.0
C0008512,Chorioretinal scar,,HP:0007777,Chorioretinal scar,1.0
C0155179,Xeroderma of eyelid,xeroderma of eyelid,,,1.0
C0158908,"Other preterm infants, 1,000-1,249 grams"," preterm infants, 1,000-1,249 grams",,,1.0
C0158909,"Other preterm infants, 1,250-1,499 grams"," preterm infants, 1,250-1,499 grams",,,1.0
C0155171,Other disorders of conjunctiva, disorders of conjunctiva,,,1.0
C0158907,"Other preterm infants, 750-999 grams"," preterm infants, 750-999 grams",,,1.0
C0158905,"Other preterm infants, less than 500 grams"," preterm infants, less than 500 grams",,,1.0
C0014394,Enuresis,,HP:0000805,Enuresis,1.0
C0014390,Entropion,,HP:0000621,Entropion,1.0
C0152193,Regular astigmatism,regular astigmatism,HP:0000483,Astigmatism,0.8575388789176941
C0152190,Refractive amblyopia,refractive amblyopia,HP:0000540,Hypermetropia,0.7644500732421875
C0152196,Spasm of accommodation,spasm of accommodation,,,1.0
C0424000,Feeling suicidal (finding),feeling suicidal (finding),HP:0100851,Abnormal emotion/affect behavior,0.9101789593696594
C0155936,Gingival and periodontal disease,gingival and periodontal disease,HP:0000704,Periodontitis,0.9325176477432251
C0043116,HMN (Hereditary Motor Neuropathy) Proximal Type I,hmn (hereditary motor neuropathy) proximal type i,,,1.0
C0037221,Situs Inversus,,HP:0003363,Abdominal situs inversus,1.0
C0019342,Genital Herpes,genital herpes,,,1.0
C0276682,Neonatal candidiasis,neonatal candidiasis,HP:0002841,Recurrent fungal infections,0.7487095594406128
C0478039,Other specified congenital malformations of digestive system,phenotypic abnormality of digestive system,,,1.0
C1561855,Idiopathic hypersomnia without long sleep time, hypersomnia ,HP:0100786,Hypersomnia,0.9958017468452454
C1561857,Hypersomnia due to medical condition classified elsewhere,hypersomnia due to medical condition classified elsewhere,,,1.0
C1561851,Other organic insomnia, organic insomnia,HP:0000708,Behavioral abnormality,0.6103720664978027
C1561850,Insomnia due to mental disorder,insomnia due to mental disorder,,,1.0
C1561858,Hypersomnia due to mental disorder,hypersomnia due to mental disorder,,,1.0
C0022073,Iridocyclitis,,HP:0001094,Iridocyclitis,1.0
C0375623,"Fracture closed of upper end of forearm, unspecified","fracture closed of upper end of forearm, ",,,1.0
C0375625,"Closed dislocation of shoulder, unspecified site","closed dislocation of shoulder,  site",,,1.0
C0375627,"Closed dislocation of elbow, unspecified site","closed dislocation of elbow,  site",HP:0003042,Elbow dislocation,0.8058844804763794
C0342580,Hyperosmolality and or hypernatremia,hyperosmolality and or hypernatremia,HP:0003228,Hypernatremia,0.7395280003547668
C0155532,Explosive acoustic trauma to ear,explosive acoustic trauma to ear,,,1.0
C0002881,"Anemia, Hemolytic, Congenital",,HP:0004804,Congenital hemolytic anemia,1.0
C0002880,Autoimmune hemolytic anemia,,HP:0001890,Autoimmune hemolytic anemia,1.0
C0017612,"Glaucoma, Open-Angle","glaucoma, open-angle",HP:0012108,Primary open angle glaucoma,0.9789713621139526
C0268701,"Disorder of kidney and ureter, unspecified","disorder of kidney and ureter, ",,,1.0
C0153644,"Cranial Nerve Neoplasms, Malignant","cranial nerve neoplasms, malignant",HP:0002377,Paraganglioma-related cranial nerve palsy,0.6580395698547363
C0153645,Malignant neoplasm of cerebral meninges,malignant neoplasm of cerebral meninges,,,1.0
C0153646,Malignant neoplasm of spinal cord,malignant neoplasm of spinal cord,HP:0010302,Spinal cord tumor,0.8954401612281799
C0153647,Malignant neoplasm of spinal meninges,malignant neoplasm of spinal meninges,HP:0010302,Spinal cord tumor,0.8197923302650452
C0153640,Malignant neoplasm of cerebellum,malignant neoplasm of cerebellum,HP:0030692,Brain neoplasm,0.9016678333282471
C0153641,Malignant neoplasm of brain stem,malignant neoplasm of brain stem,HP:0030692,Brain neoplasm,0.7397820949554443
C0153642,Malignant neoplasm of other parts of brain,malignant neoplasm of  parts of brain,HP:0030692,Brain neoplasm,0.9800627827644348
C0153643,"Malignant neoplasm of nervous system, part unspecified","malignant neoplasm of nervous system, part ",HP:0004375,Neoplasm of the nervous system,0.6528052091598511
C1457897,Congenital hypogammaglobulinemia,congenital hypogammaglobulinemia,HP:0004313,Decreased antibody level in blood,0.9639801383018494
C0155534,"Tinnitus, Objective","tinnitus, objective",HP:0000360,Tinnitus,0.887173593044281
C0086543,Cataract,,HP:0000518,Cataract,1.0
C0154033,Benign neoplasm of cerebral meninges,benign neoplasm of cerebral meninges,,,1.0
C0154030,Benign neoplasm of other specified parts of eye,benign neoplasm of  specified parts of eye,,,1.0
C0154034,Benign neoplasm of spinal cord,benign neoplasm of spinal cord,,,1.0
C0270307,Overanxious disorder of childhood,anxiety of ,HP:0000739,Anxiety,0.9962027668952942
C0080233,Tooth Loss,tooth loss,HP:0006480,Premature loss of teeth,0.9622262716293335
C0155537,Impaired auditory discrimination,impaired auditory discrimination,HP:0000364,Hearing abnormality,0.5378775000572205
C0401080,Bilateral inguinal hernia with obstruction but no gangrene,bilateral inguinal hernia ,HP:0000023,Inguinal hernia,0.7014687061309814
C0410502,Juvenile osteochondritis of the hip and pelvis,juvenile osteochondritis of the hip and pelvis,,,1.0
C1112690,Anterior subcapsular polar non-senile cataract,anterior subcapsular polar non-senile cataract,,,1.0
C1112693,"Generalized non-convulsive epilepsy, with intractable epilepsy","generalized non-convulsive epilepsy, ",HP:0002197,Generalized seizures,0.8330547213554382
C0265566,Reduction deformity of upper limb,reduction deformity of upper limb,HP:0009810,Abnormality of upper limb joint,0.5524858832359314
C0010823,Cytomegalovirus Infections,cytomegalovirus infections,HP:0002719,Recurrent infections,0.7248989939689636
C0154698,Monoplegic Infantile Cerebral Palsy,monoplegic  cerebral palsy,HP:0100021,Cerebral palsy,0.6713986992835999
C0154697,"Cerebral Palsy, Quadriplegic, Infantile","cerebral palsy, quadriplegic, ",HP:0100021,Cerebral palsy,0.960041344165802
C0154695,Diplegic Infantile Cerebral Palsy,diplegic  cerebral palsy,HP:0100021,Cerebral palsy,0.6238623857498169
C0154692,Other central nervous system demyelinating diseases, central nervous system demyelinating diseases,,,1.0
C0154693,"Hemiplegia, Flaccid","hemiplegia, flaccid",,,1.0
C0154691,Peripheral autonomic neuropathy in disorders classified elsewhere,peripheral autonomic neuropathy in disorders classified elsewhere,,,1.0
C0155343,Other disorders of binocular eye movements, disorders of binocular eye movements,HP:0000617,Abnormality of ocular smooth pursuit,0.6274088621139526
C0155342,strabismus in other neuromuscular disorders,strabismus in  neuromuscular disorders,HP:0000597,Ophthalmoparesis,0.585149347782135
C0155341,Limited duction associated with other conditions,limited duction associated ,,,1.0
C0158226,"Other specified joint disorders, pelvic region and thigh"," specified joint disorders, pelvic region and thigh",HP:0002644,Abnormality of pelvic girdle bone morphology,0.5375138521194458
C0155345,Convergence insufficiency or palsy,convergence insufficiency or palsy,,,1.0
C0155612,"Hypertensive heart and chronic kidney disease, unspecified, without heart failure and with chronic kidney disease stage I through stage IV, or unspecified","hypertensive heart and chronic kidney disease, , ",HP:0012622,Chronic kidney disease,0.5404014587402344
C0374985,Group C Streptococcus infection in conditions classified elsewhere and of unspecified site,group c streptococcus infection in conditions classified elsewhere and of  site,HP:0004431,Complement deficiency,0.6440856456756592
C0040128,Thyroid Diseases,,HP:0000820,Abnormality of the thyroid gland,1.0
C0302501,Mandibular hyperplasia,mandibular hyperplasia,HP:0000303,Mandibular prognathia,0.9999271631240845
C0271432,Acute transudative otitis media,acute transudative otitis media,HP:0000371,Acute otitis media,0.5373403429985046
C0302505,"Stress incontinence, male","stress incontinence, male",HP:0010992,Stress urinary incontinence,0.7680804133415222
C0271431,Acute suppurative otitis media,acute suppurative otitis media,HP:0000403,Recurrent otitis media,0.7258375883102417
C0154961,Glaucoma associated with ocular disorder,glaucoma associated ,HP:0000501,Glaucoma,0.9905204772949219
C0349231,Phobic anxiety disorder,anxiety,HP:0000739,Anxiety,0.9974355101585388
C0011157,Deficiency of other vitamins,deficiency of  vitamins,,,1.0
C0341747,Detrusor and sphincter dyssynergia,detrusor and sphincter dyssynergia,HP:0002839,Urinary bladder sphincter dysfunction,0.9726292490959167
C0030442,Progressive bulbar palsy,progressive bulbar palsy,HP:0001283,Bulbar palsy,0.9998020529747009
C0030446,Paralytic Ileus,,HP:0002590,Paralytic ileus,1.0
C0337231,Fall from wheelchair,fall from wheelchair,HP:0012638,Abnormality of nervous system physiology,0.7491828799247742
C1261282,Complication of transplanted liver,complication of transplanted liver,HP:0001392,Abnormality of the liver,0.7506944537162781
C0024530,Malaria,malaria,HP:0012130,Abnormality of cells of the erythroid lineage,0.5130110383033752
C0001309,Acute atopic conjunctivitis,acute atopic conjunctivitis,HP:0012649,Increased inflammatory response,0.5070439577102661
C0001308,Acute and subacute liver necrosis (disorder),acute and subacute liver necrosis (disorder),HP:0001392,Abnormality of the liver,0.7163385152816772
C0349588,Short stature,,HP:0004322,Short stature,1.0
C0156196,Hepatitis in viral diseases classified elsewhere,hepatitis in viral diseases classified elsewhere,HP:0006562,Viral hepatitis,0.7450893521308899
C0156195,Chronic passive congestion of liver,chronic passive congestion of liver,HP:0001410,Decreased liver function,0.7723724246025085
C0156192,Portal pyemia,portal pyemia,,,1.0
C0154811,Partial recent retinal detachment with giant tear, recent retinal detachment ,HP:0000479,Abnormality of the retina,0.5137209892272949
C0018776,"Hearing Loss, Central","hearing loss, central",HP:0000359,Abnormality of the inner ear,0.5070186853408813
C0018777,Conductive hearing loss,,HP:0000405,Conductive hearing impairment,1.0
C0348188,Varicella without complication,varicella ,HP:0010978,Abnormality of immune system physiology,0.713681161403656
C0152522,Diarrhea of presumed infectious origin,diarrhea of presumed infectious origin,HP:0002719,Recurrent infections,0.509469747543335
C0859058,Disorder of pituitary gland and its hypothalamic control,disorder of pituitary gland and its hypothalamic control,HP:0012503,Abnormality of the pituitary gland,0.8504552245140076
C0742343,Acute Chest Syndrome,acute chest syndrome,,,1.0
C0555219,Other anomalies of intestine, anomalies of intestine,HP:0002242,Abnormality of the intestine,0.9510454535484314
C0010598,Cyclothymic Disorder,cyclothymic disorder,HP:0000708,Behavioral abnormality,0.9575108289718628
C0033132,"Cerebellar Degenerations, Primary","cerebellar degenerations, primary",HP:0001317,Abnormality of the cerebellum,0.7871619462966919
C0152264,Familial erythrocytosis,familial erythrocytosis,,,1.0
C0002438,Amebiasis,amebiasis,,,1.0
C0917799,Hypersomnia,,HP:0100786,Hypersomnia,1.0
C0156338,Other abscess of vulva, abscess of vulva,,,1.0
C0272422,Injury of face and neck,injury of face and neck,HP:0000464,Abnormality of the neck,0.9301740527153015
C0154026,Benign neoplasm of cornea,benign neoplasm of cornea,HP:0100012,Neoplasm of the eye,0.8352498412132263
C2712619,Acute venous embolism and thrombosis of deep vessels of proximal lower extremity,acute venous embolism and thrombosis of deep vessels of proximal lower extremity,HP:0011004,Abnormality of the systemic arterial tree,0.5670050978660583
C0029800,Other specified gastritis, specified gastritis,HP:0005263,Gastritis,0.890320897102356
C0029802,Other specified forms of glaucoma, specified forms of glaucoma,HP:0000501,Glaucoma,0.9553121328353882
C0029805,Other specified hypertrophic and atrophic conditions of skin, specified hypertrophic and atrophic conditions of skin,HP:0004334,Dermal atrophy,0.8932223916053772
C0029806,Other specified infantile cerebral palsy, specified  cerebral palsy,HP:0100021,Cerebral palsy,0.9628109931945801
C0029809,Other specified intestinal malabsorption, specified intestinal malabsorption,HP:0002024,Malabsorption,0.9776424169540405
C0034919,Redundant prepuce and phimosis,abnormality of the preputium,HP:0100587,Abnormality of the preputium,0.9958018660545349
C0034915,Redness or discharge of eye,redness or discharge of eye,,,1.0
C0035204,Respiration Disorders,respiration disorders,HP:0002793,Abnormal pattern of respiration,0.7891759276390076
C1272092,Impaired fasting glycaemia,impaired fasting glycaemia,HP:0008283,Fasting hyperinsulinemia,0.8233969807624817
C0261618,"Other and unspecified falls on same level from collision, pushing, or shoving, by or with other person"," and  falls on same level from collision, pushing, or shoving, by or ",HP:0100851,Abnormal emotion/affect behavior,0.5124306678771973
C0261617,"Fall on same level from collision, pushing, or shoving, by or with other person in sports","fall on same level from collision, pushing, or shoving, by or ",,,1.0
C1561717,"Body Mass Index between 25-29, adult","body mass index between 25-29, ",,,1.0
C0261615,"Fall on same level from slipping, tripping, or stumbling","fall on same level from slipping, tripping, or stumbling",HP:0012638,Abnormality of nervous system physiology,0.6027289032936096
C0029758,Other specified anomalies of esophagus, specified anomalies of esophagus,HP:0002031,Abnormality of the esophagus,0.9974537491798401
C0266932,Dentofacial functional anomaly,dentofacial functional anomaly,HP:0000271,Abnormality of the face,0.7196770310401917
C1561710,"Body Mass Index less than 19, adult","body mass index less than 19, ",,,1.0
C1176356,"Developmental dislocation of joint, ankle and foot","developmental dislocation of joint, ankle and foot",HP:0005191,Congenital knee dislocation,0.9523884654045105
C1176357,"Developmental dislocation of joint, other specified sites","developmental dislocation of joint,  specified sites",,,1.0
C1176354,"Developmental dislocation of joint, pelvic region and thigh","developmental dislocation of joint, pelvic region and thigh",,,1.0
C1168590,"Loss of teeth due to trauma, extraction, or periodontal disease","loss of teeth due to trauma, extraction, or periodontal disease",,,1.0
C1176352,"Developmental dislocation of joint, forearm","developmental dislocation of joint, forearm",HP:0009811,Abnormality of the elbow,0.5728760957717896
C1176350,Developmental dislocation of joint of shoulder region,developmental dislocation of joint of shoulder region,,,1.0
C1176359,"Torus fracture, tibia alone","torus fracture, tibia alone",,,1.0
C0740253,Empyema with fistula,empyema ,HP:0011919,Pleural empyema,0.9948874115943909
C0154208,Disorder of endocrine ovary,disorder of endocrine ovary,HP:0000818,Abnormality of the endocrine system,0.5048944354057312
C0154758,Inflammatory and toxic neuropathy,inflammatory and toxic neuropathy,,,1.0
C0154757,Other specified idiopathic peripheral neuropathy, specified  peripheral neuropathy,HP:0009830,Peripheral neuropathy,0.7026190161705017
C0154207,Other specified disorders of adrenal gland, specified disorders of adrenal gland,HP:0000834,Abnormality of the adrenal glands,0.9468320608139038
C1998978,Adult failure to thrive syndrome, failure to thrive syndrome,HP:0001508,Failure to thrive,0.9484076499938965
C0037932,Curvature of spine,curvature of spine,,,1.0
C0159077,Other cells and casts in urine, cells and casts in urine,,,1.0
C0159071,Nonspecific elevation of levels of transaminase or lactic acid dehydrogenase [LDH],nonspecific elevation of levels of transaminase or lactic acid dehydrogenase [ldh],,,1.0
C0159072,Other nonspecific abnormal serum enzyme levels, nonspecific abnormal serum enzyme levels,HP:0001939,Abnormality of metabolism/homeostasis,0.5302212238311768
C1145628,Autonomic nervous system disorders,autonomic nervous system disorders,HP:0002270,Abnormality of the autonomic nervous system,0.7394495606422424
C0159079,Other nonspecific abnormal findings in body substances, nonspecific abnormal findings in body substances,HP:0001939,Abnormality of metabolism/homeostasis,0.9546009302139282
C1112488,Neonatal bradycardia,neonatal bradycardia,HP:0011675,Arrhythmia,0.6353023648262024
C0023530,Leukopenia,,HP:0001882,Leukopenia,1.0
C0476310,"Abdominal or pelvic swelling, mass, or lump","abdominal or pelvic swelling, mass, or lump",HP:0000032,Abnormality of male external genitalia,0.532569169998169
C0004144,Atelectasis,,HP:0100750,Atelectasis,1.0
C0008827,Cirrhosis of liver without mention of alcohol,cirrhosis of liver ,HP:0001394,Cirrhosis,0.9977537989616394
C0008533,Hemophilia B,hemophilia b,,,1.0
C0155400,Other chronic otitis externa, chronic otitis externa,HP:0000389,Chronic otitis media,0.9813296794891357
C0155404,Other noninfectious disorders of pinna, noninfectious disorders of pinna,HP:0000377,Abnormality of the pinna,0.7389797568321228
C0155405,Acquired stenosis of external ear canal,acquired stenosis of external ear canal,,,1.0
C0038273,Stereotypic Movement Disorder,,HP:0000733,Stereotypic behavior,1.0
C0751774,Nocturnal Myoclonus Syndrome,nocturnal myoclonus syndrome,HP:0004305,Involuntary movements,0.8124876022338867
C0019360,Herpes zoster disease,herpes zoster disease,HP:0010978,Abnormality of immune system physiology,0.5160986185073853
C0019366,Herpes zoster without mention of complication,herpes zoster ,HP:0010978,Abnormality of immune system physiology,0.8677411079406738
C0015397,Disorder of eye,disorder of eye,HP:0000478,Abnormality of the eye,0.8967806100845337
C0015393,Eye Abnormalities,,HP:0000478,Abnormality of the eye,1.0
C0022581,Acquired keratoderma,acquired keratoderma,HP:0000982,Palmoplantar keratoderma,0.9894340634346008
C0161213,Erythema [first degree] of single digit (finger (nail)) other than thumb,erythema [first degree] of single digit (finger (nail))  than thumb,,,1.0
C1456434,Episodic mood disorder, depression,HP:0000716,Depression,0.9955884218215942
C0013396,Dyspepsia and other specified disorders of function of stomach,dyspepsia and  specified disorders of function of stomach,HP:0002577,Abnormality of the stomach,0.71137934923172
C0417758,Other injury caused by animals, injury caused by animals,,,1.0
C0015934,Fetal Growth Retardation,,HP:0001511,Intrauterine growth retardation,1.0
C0161079,"Deep necrosis of underlying tissues [deep third degree]) without mention of loss of a body part, ear [any part]",deep necrosis of underlying tissues [deep third degree]) ,,,1.0
C0157120,"Poor fetal growth, affecting management of mother, unspecified as to episode of care or not applicable","poor fetal growth, affecting management of m,  as to episode of care or ",,,1.0
C1135313,Fall from (nonmotorized) scooter,fall from (nonmotorized) scooter,HP:0004323,Abnormality of body weight,0.5698378682136536
C0348799,Acute bronchiolitis due to respiratory syncytial virus,acute bronchiolitis due to respiratory syncytial virus,HP:0002088,Abnormality of the lung,0.5285996198654175
C0478019,Other specified congenital malformations of respiratory system,phenotypic abnormality of respiratory system,HP:0002086,Abnormality of the respiratory system,0.6077408194541931
C0478018,Other congenital malformations of lung, congenital malformations of lung,,,1.0
C0478014,Other congenital malformations of nose, congenital malformations of nose,HP:0000271,Abnormality of the face,0.5287553071975708
C0478013,"Congenital malformation of circulatory system, unspecified","congenital malformation of circulatory system, ",HP:0001626,Abnormality of the cardiovascular system,0.5445322394371033
C0013575,Ectodermal Dysplasia,,HP:0000968,Ectodermal dysplasia,1.0
C0159679,"Fracture of unspecified part of upper end of humerus, closed","fracture of  part of upper end of humerus, closed",HP:0003862,Absent humerus,0.9084789752960205
C0153660,"Malignant neoplasm of head, neck and face","malignant neoplasm of head, neck and face",HP:0012288,Neoplasm of head and neck,0.932887852191925
C0153661,Malignant neoplasm of thorax,malignant neoplasm of thorax,HP:0002664,Neoplasm,0.5152660012245178
C0153666,Malignant neoplasm of other specified sites,malignant neoplasm of  specified sites,HP:0011793,Neoplasm by anatomical site,0.6783053874969482
C0028768,Obsessive-Compulsive Disorder,obsessive-compulsive disorder,HP:0000722,Obsessive-compulsive behavior,0.9939658045768738
C1719717,chronic plaque-induced gingivitis,chronic plaque-induced gingivitis,HP:0000166,Severe periodontitis,0.5287208557128906
C1719714,"Stomatitis and mucositis, unspecified","stomatitis and mucositis, ",HP:0011107,Recurrent aphthous stomatitis,0.8717224597930908
C0152096,Complete trisomy 18 syndrome,complete trisomy 18 syndrome,,,1.0
C0519030,Pneumonia due to Klebsiella pneumoniae,pneumonia due to klebsiella pneumoniae,HP:0005366,Recurrent streptococcus pneumoniae infections,0.6241403222084045
C0438699,"Congenital agenesis, hypoplasia, and dysplasia of lung","congenital agenesis, hypoplasia, and dysplasia of lung",HP:0012252,Abnormal respiratory system morphology,0.508420467376709
C0152095,Patau syndrome,patau syndrome,,,1.0
C0270327,Bedwetting,,HP:0010677,Enuresis nocturna,1.0
C0158678,Other congenital anomalies of digestive system, congenital anomalies of digestive system,HP:0011024,Abnormality of the gastrointestinal tract,0.5812508463859558
C0158679,Congenital anomaly of fixation of intestine,congenital anomaly of fixation of intestine,HP:0002242,Abnormality of the intestine,0.6091927289962769
C0158671,Other specified anomalies of mouth, specified anomalies of mouth,HP:0000153,Abnormality of the mouth,0.7911589741706848
C0158673,Other specified anomalies of pharynx, specified anomalies of pharynx,HP:0000600,Abnormality of the pharynx,0.8790682554244995
C0158674,Congenital hiatus hernia,congenital hiatus hernia,HP:0002036,Hiatus hernia,0.9894188046455383
C0878749,Fall from snowboard,fall from snowboard,,,1.0
C0878748,Fall from skis,fall from skis,HP:0009810,Abnormality of upper limb joint,0.5264410972595215
C0878747,Fall from skateboard,fall from skateboard,HP:0001454,Abnormality of the upper arm,0.8307605385780334
C0878746,Fall from roller skates,fall from roller skates,,,1.0
C0029497,"Other and unspecified disc disorder, unspecified region"," and  disc disorder,  region",HP:0004329,Abnormality of the posterior segment of the globe,0.5448091626167297
C0029496,"Coagulation defects, other and unspecified","coagulation defects,  and ",HP:0001928,Abnormality of coagulation,0.9530107975006104
C0029493,Other and unspecified anterior pituitary hyperfunction, and  anterior pituitary hyperfunction,HP:0011747,Abnormality of the anterior pituitary,0.9801791310310364
C0041667,Underweight,underweight,HP:0004323,Abnormality of body weight,0.9230948686599731
C0041665,"Undersocialized conduct disorder, aggressive type","undersocialized oppositional defiant disorder, aggressive type",,,1.0
C1298685,Chronic pain syndrome,chronic pain syndrome,,,1.0
C0029498,Other and unspecified diseases of the oral soft tissues, and  diseases of the oral soft tissues,,,1.0
