cui,cui_name,curated_name,hpo,hpo_name
C0158207,"Other symptoms referable to joint, upper arm"," symptoms referable to joint, upper arm",,
C0158206,"Other symptoms referable to joint, shoulder region"," symptoms referable to joint, shoulder region",,
C0025874,Metrorrhagia,,HP:0100608,Metrorrhagia
C0039070,Syncope,,HP:0001279,Syncope
C0271454,Chronic purulent otitis media,chronic purulent otitis media,,
C2004477,Disorders of optic chiasm associated with other neoplasms,disorders of optic chiasm associated ,,
C0037054,Sickle Cell Trait,sickle cell trait,,
C0338502,Hypoplasia of the optic nerve,,HP:0000609,Optic nerve hypoplasia
C0007859,Neck Pain,,HP:0030833,Neck pain
C0020617,Hypoglycemic coma,,HP:0001325,Hypoglycemic coma
C0020615,Hypoglycemia,,HP:0001943,Hypoglycemia
C0261559,Mechanical failure of instrument or apparatus during heart catheterization,mechanical failure of instrument or apparatus during heart catheterization,,
C0375189,"Undersocialized conduct disorder, aggressive type, unspecified","undersocialized oppositional defiant disorder, aggressive type, ",,
C0261555,Mechanical failure of instrument or apparatus during infusion and transfusion,mechanical failure of instrument or apparatus during infusion and transfusion,,
C0261556,Mechanical failure of instrument or apparatus during kidney dialysis and other perfusion,mechanical failure of instrument or apparatus during kidney dialysis and  perfusion,,
C0476271,Symptoms involving respiratory system and other chest symptoms,symptoms involving respiratory system and  chest symptoms,,
C0155891,Air-conditioner and humidifier lung,air-conditioner and humidifier lung,,
C0158210,"Other symptoms referable to joint, pelvic region and thigh"," symptoms referable to joint, pelvic region and thigh",,
C0155371,Aphakia and other disorders of lens,aphakia and  disorders of lens,,
C0273175,Liver moderate laceration without mention of open wound into cavity,liver moderate laceration ,,
C0154418,"Bipolar I disorder, most recent episode (or current) manic, moderate","bipolar disorder,  moderate",,
C0154419,"Bipolar I disorder, most recent episode (or current) manic, severe, without mention of psychotic behavior","bipolar disorder,  severe, ",,
C0154410,Mild recurrent major depression,mild recurrent major depression,,
C0154411,Moderate recurrent major depression,moderate recurrent major depression,,
C0154940,Open angle with borderline glaucoma findings,open angle ,,
C0154413,Severe recurrent major depression with psychotic features,severe recurrent major depression ,,
C0154417,"Bipolar I disorder, most recent episode (or current) manic, mild","bipolar disorder,  mild",,
C0273531,Injury to unspecified nerve of pelvic girdle and lower limb,injury to  nerve of pelvic girdle and lower limb,,
C0015230,Exanthema,,HP:0000988,Skin rash
C0015231,Exanthema Subitum,exanthema subitum,,
C0041876,Unspecified psychophysiological malfunction, psychophysiological malfunction,,
C0010261,Cracked Tooth Syndrome,cracked tooth syndrome,,
C0010263,Limb Cramp,limb cramp,,
C0010266,Cranial nerve diseases,cranial nerve diseases,,
C0340419,Other primary cardiomyopathies, primary cardiomyopathies,,
C0021567,"Insect bite, nonvenomous, of other, multiple, and unspecified sites, without mention of infection","insect bite, nonvenomous, of , multiple, and  sites, ",,
C0002983,Angioid streaks of choroid,angioid streaks of choroid,,
C0036093,Salivary Gland Diseases,salivary gland diseases,,
C0036091,Sialolithiasis,sialolithiasis,,
C0033117,Priapism,,HP:0200023,Priapism
C0153328,Other specified infectious and parasitic diseases, specified infectious and parasitic diseases,,
C0275982,Enteric campylobacteriosis,enteric campylobacteriosis,,
C0008677,"Bronchitis, Chronic",,HP:0004469,Chronic bronchitis
C0158442,Juvenile osteochondrosis of upper extremity,juvenile osteochondrosis of upper extremity,,
C0158441,Slipped upper femoral epiphysis,slipped upper femoral epiphysis,,
C0158447,Idiopathic osteoporosis, osteoporosis,,
C0158444,"Juvenile osteochondrosis of foot, NOS","juvenile osteochondrosis of foot, nos",,
C0156313,Other inflammatory disorders of male genital organs, inflammatory disorders of male genital organs,,
C0156312,Atrophy of testis,,HP:0000029,Testicular atrophy
C0156317,Edema of male genital organs,edema of male genital organs,,
C0027730,Nephrotic syndrome with unspecified pathological lesion in kidney,nephrotic syndrome ,,
C2712637,Kidney failure following abortion and ectopic and molar pregnancies,kidney failure following abortion and ectopic and molar pregnancies,,
C0434195,injury of brachial blood vessel,injury of brachial blood vessel,,
C0029824,Other specified psychophysiological malfunction, specified psychophysiological malfunction,,
C0029823,Other specified peritonitis, specified peritonitis,,
C0029821,Other specified periodontal diseases, specified periodontal diseases,,
C0029291,Psittacosis,psittacosis,,
C0034931,Reflex Sympathetic Dystrophy,reflex sympathetic dystrophy,,
C0159790,Fracture of one or more phalanges of hand,fracture of one or more phalanges of hand,,
C0158555,Coloboma and other anomalies of anterior segment,coloboma and  anomalies of anterior segment,,
C0434992,Bucket handle tear of lateral meniscus of knee,bucket handle tear of lateral meniscus of knee,,
C0032792,Postoperative shock,postoperative shock,,
C0016719,Friedreich Ataxia,friedreich ataxia,,
C0035220,"Respiratory Distress Syndrome, Newborn","respiratory distress, newborn",,
C0009699,Congenital deficiency of other clotting factors,congenital deficiency of  clotting factors,,
C0031212,Personality Disorders,,HP:0012075,Personality disorder
C0009691,Congenital cataract,,HP:0000519,Congenital cataract
C0268512,Disorder of histidine metabolism,disorder of histidine metabolism,,
C0027343,"Nails, Ingrown",,HP:0012710,Ingrown nail
C0020428,Hyperaldosteronism,,HP:0000859,Hyperaldosteronism
C0266916,Localized gingival recession,localized gingival recession,,
C0392531,Torsion of appendix of testis,torsion of appendix of testis,,
C0264222,Acute upper respiratory infection,acute respiratory tract infection,,
C0260543,Health supervision of infant or child,health supervision of infant or child,,
C0271847,Hyperparathyroidism due to renal insufficiency,hyperparathyroidism due to renal insufficiency,,
C0271384,Spontaneous Ocular Nystagmus,spontaneous ocular nystagmus,,
C0375065,"Malignant neoplasm of connective and other soft tissue of trunk, unspecified","malignant neoplasm of connective and  soft tissue of trunk, ",,
C0154771,Symptomatic inflammatory myopathy associated with another disorder,symptomatic inflammatory myopathy associated ,,
C0154770,Myopathy in endocrine diseases classified elsewhere,myopathy in endocrine diseases classified elsewhere,,
C0040428,Tooth Abrasion,tooth abrasion,,
C0154778,"Myopia, Degenerative","myopia, degenerative",,
C0474873,Congenital ureterocele,congenital ureterocele,,
C0409264,"Unspecified joint disorder, ankle and foot"," joint disorder, ankle and foot",,
C0339951,"Pneumonia, organism unspecified","pneumonia, ",,
C0332544,Abnormal weight gain,abnormal weight gain,,
C0375198,"Meningitis due to gram-negative bacteria, NEC in ICD9CM_2014","meningitis due to gram-negative bacteria,",,
C0750887,Adrenal Cancer,adrenal cancer,,
C0006849,Oral candidiasis,oral candidiasis,,
C0006842,Candidiasis of skin and nails,candidiasis of skin and nails,,
C0006840,Candidiasis,candidiasis,,
C0034068,Pulmonary Eosinophilia,pulmonary eosinophilia,,
C0021776,Intermittent Explosive Disorder,intermittent explosive disorder,,
C1176339,extrinsic asthma with acute exacerbation,extrinsic asthma ,,
C0235815,Neonatal urinary tract infection,neonatal urinary tract infection,,
C0162019,Deformity of orbit,deformity of orbit,,
C0010676,Cystic fibrosis without mention of meconium ileus,cystic fibrosis ,,
C0010674,Cystic Fibrosis,cystic fibrosis,,
C0840764,"Other superficial injury of trunk, level unspecified"," superficial injury of trunk, level ",,
C0010678,Cysticercosis,cysticercosis,,
C0155426,Other chronic mucoid otitis media, chronic mucoid otitis media,,
C0155427,Other and unspecified chronic nonsuppurative otitis media, and  chronic nonsuppurative otitis media,,
C0155137,Other corneal disorder, corneal disorder,,
C0155422,"Chronic serous otitis media, simple or unspecified","chronic serous otitis media, simple or ",,
C0155423,Other chronic serous otitis media, chronic serous otitis media,,
C0155421,Chronic serous otitis media,chronic serous otitis media,,
C0155138,Corneal anesthesia and hypoesthesia,corneal anesthesia and hypoesthesia,,
C0153863,"Other and unspecified malignant neoplasms of lymphoid and histiocytic tissue, lymph nodes of inguinal region and lower limb"," and  malignant neoplasms of lymphoid and histiocytic tissue, lymph nodes of inguinal region and lower limb",,
C0037268,Skin Abnormalities,,HP:0000951,Abnormality of the skin
C1456189,Other anomalies of dental arch relationship, anomalies of dental arch relationship,,
C1456183,reverse articulation,reverse articulation,,
C0005697,Neurogenic Urinary Bladder,,HP:0000011,Neurogenic bladder
C0005694,Bladder neck obstruction,bladder neck obstruction,,
C0848548,hypertensive nephropathy,hypertensive nephropathy,,
C2712843,Other venous embolism and thrombosis of inferior vena cava, venous embolism and thrombosis of inferior vena cava,,
C0006705,Calcium Metabolism Disorders,calcium metabolism disorders,,
C0281856,Generalized aches and pains,generalized aches and pains,,
C0013373,Dysfunctions associated with sleep stages or arousal from sleep,dysfunctions associated ,,
C0156769,"Other specified complications of pregnancy, antepartum condition or complication"," specified complications of pregnancy, antepartum condition or complication",,
C1135333,Unspecified hypertensive heart disease with heart failure, hypertensive heart disease ,,
C1135332,Unspecified hypertensive heart disease without heart failure, hypertensive heart disease ,,
C1719483,Other diseases of trachea and bronchus, diseases of trachea and bronchus,,
C0157146,Premature rupture of membranes - delivered,premature rupture of membranes - delivered,,
C0018524,Hallucinations,,HP:0000738,Hallucinations
C0153687,Secondary malignant neoplasm of skin,secondary malignant neoplasm of skin,,
C0153688,Secondary malignant neoplasm of brain and spinal cord,secondary malignant neoplasm of brain and spinal cord,,
C0153689,secondary malignant neoplasm of other parts of nervous system,secondary malignant neoplasm of  parts of nervous system,,
C1135196,"Heart Failure, Diastolic","heart failure, diastolic",,
C0494752,Diaphragmatic hernia without mention of obstruction or gangrene,diaphragmatic hernia ,,
C0003977,Aseptic necrosis of head and/or neck of femur,aseptic necrosis of head and/or neck of femur,,
C0026758,"Multiple congenital anomalies, so described","multiple congenital anomalies, so described",,
C0080274,Urinary Retention,,HP:0000016,Urinary retention
C0158658,Bilateral incomplete cleft palate with cleft lip,bilateral incomplete cleft palate ,,
C0158659,Other combinations of cleft palate with cleft lip, combinations of cleft palate ,,
C0158656,Unilateral incomplete cleft palate with cleft lip,unilateral incomplete cleft palate ,,
C0158657,Bilateral complete cleft palate with cleft lip,bilateral complete cleft palate ,,
C0158655,Unilateral complete cleft palate with cleft lip,unilateral complete cleft palate ,,
C0158652,Unilateral incomplete cleft lip,unilateral incomplete cleft lip,,
C0158653,Complete bilateral cleft lip,complete bilateral cleft lip,,
C0158650,Incomplete bilateral cleft palate,incomplete bilateral cleft palate,,
C0158651,Unilateral complete cleft lip,unilateral complete cleft lip,,
C0009447,Common Variable Immunodeficiency,immunodeficiency,,
C0038450,Stridor,,HP:0010307,Stridor
C1411876,Developmental arithmetic disorder,,HP:0002442,Dyscalculia
C0490053,"Reduction deformities of upper limb, congenital, longitudinal deficiency, phalanges, complete or partial","reduction deformities of upper limb, congenital, longitudinal deficiency, phalanges, complete or ",,
C0490052,Other psoriasis and similar disorders excluding psoriatic arthropathy, psoriasis and similar disorders excluding psoriatic arthropathy,,
C0490054,"Reduction deformities of lower limb, congenital, longitudinal deficiency, phalanges, complete or partial","reduction deformities of lower limb, congenital, longitudinal deficiency, phalanges, complete or ",,
C0029610,Other endophthalmitis, endophthalmitis,,
C0029616,Other disorders of facial nerve, disorders of facial nerve,,
C0155306,Hemorrhage in optic nerve sheaths,hemorrhage in optic nerve sheaths,,
C0155305,"Optic Neuropathy, Ischemic","optic neuropathy, ischemic",,
C0155304,Other disorders of optic nerve, disorders of optic nerve,,
C0155300,Pseudopapilledema,,HP:0000538,Pseudopapilledema
C0003028,Anhidrosis,,HP:0000970,Anhidrosis
C0027080,Myoglobinuria,,HP:0002913,Myoglobinuria
C0477318,Other specified disorders of white blood cells, specified disorders of white blood cells,,
C0030486,Paraplegia,,HP:0010550,Paraplegia
C0266071,Rotation of tooth,rotation of tooth,,
C0261573,Injury due to failure to introduce or to remove other tube or instrument,injury due to failure to introduce or to remove  tube or instrument,,
C0158889,"Foetal growth retardation, unspecified, 1,750-1,999 grams","foetal growth retardation, , 1,750-1,999 grams",,
C0158888,"Foetal growth retardation, unspecified, 1,500-1,749 grams","foetal growth retardation, , 1,500-1,749 grams",,
C0158887,"Foetal growth retardation, unspecified, 1,250-1,499 grams","foetal growth retardation, , 1,250-1,499 grams",,
C0157965,"Osteoarthrosis, unspecified whether generalized or localized, lower leg","osteoarthrosis,  whether generalized or localized, lower leg",,
C0157964,"Osteoarthrosis, unspecified whether generalized or localized, pelvic region and thigh","osteoarthrosis,  whether generalized or localized, pelvic region and thigh",,
C0157961,"Osteoarthrosis, unspecified whether generalized or localized, involving upper arm","osteoarthrosis,  whether generalized or localized, involving upper arm",,
C0159131,Other nonspecific abnormal findings, nonspecific abnormal findings,,
C0159132,Nonspecific abnormal toxicological findings,nonspecific abnormal toxicological findings,,
C0159135,Other abnormal clinical findings, abnormal clinical findings,,
C0159138,Other ill-defined and unknown causes of morbidity and mortality, ill-defined and unknown causes of ity and mortality,,
C0159139,Fracture of vault of skull,fracture of vault of skull,,
C0859273,Spinal cord injury without spinal bone injury,spinal cord injury ,,
C0154436,Atypical manic disorder,atypical mania,,
C0154434,"Bipolar I disorder, most recent episode (or current) mixed, in partial or unspecified remission","bipolar disorder,  mixed, ",,
C0154432,"Bipolar I disorder, most recent episode (or current) mixed, severe, without mention of psychotic behavior","bipolar disorder,  mixed, severe, ",,
C0154433,"Bipolar I disorder, most recent episode (or current) mixed, severe, specified as with psychotic behavior","bipolar disorder,  mixed, severe, specified as ",,
C0345010,Atresia and stenosis of aorta,atresia and stenosis of aorta,,
C0041857,unspecified nonpsychotic mental disorder, nonpsychotic mental disorder,,
C0686721,Shaken baby syndrome,shaken baby syndrome,,
C0749794,"Upper Extremity Deformities, Congenital","upper extremity deformities, congenital",,
C0010244,Coxsackie virus infection in conditions classified elsewhere and of unspecified site,coxsackie virus infection in conditions classified elsewhere and of  site,,
C0155214,Hypotrichosis of eyelid,hypotrichosis of eyelid,,
C0008475,Chondromalacia Patellae,chondromalacia patellae,,
C0260825,Other reasons for seeking consultation, reasons for seeking consultation,,
C0260820,Other persons seeking consultation, persons seeking consultation,,
C0153307,Conjunctivitis due to acquired toxoplasmosis,conjunctivitis due to acquired toxoplasmosis,,
C0156157,Other specified intestinal obstruction, specified intestinal obstruction,,
C0156156,Gallstone ileus,gallstone ileus,,
C0156158,Intestinal or peritoneal adhesions with obstruction (postoperative) (postinfection),intestinal or peritoneal adhesions ,,
C0153308,Toxoplasmosis chorioretinitis,toxoplasmosis chorioretinitis,,
C0158468,Acquired varus deformity of wrist,acquired varus deformity of wrist,,
C0157687,"Carbuncle and furuncle of leg, except foot","carbuncle and furuncle of leg, except foot",,
C0158461,Acquired claw foot,acquired claw foot,,
C0158463,Other acquired deformities of limbs, acquired deformities of limbs,,
C0158467,Acquired valgus deformity of wrist,acquired valgus deformity of wrist,,
C0272468,Closed subcondylar fracture of mandible,closed subcondylar fracture of mandible,,
C0158799,Fetus or newborn affected by maternal conditions which may be unrelated to present pregnancy,fetus or newborn affected by maternal conditions which may be unrelated to present pregnancy,,
C0018991,Hemiplegia,,HP:0002301,Hemiplegia
C0158797,Congenital anomaly of adrenal gland,congenital anomaly of adrenal gland,,
C0158795,Other and unspecified congenital anomalies, and  congenital anomalies,,
C0158794,Balanced autosomal translocation in normal individual,balanced autosomal translocation in normal individual,,
C0027719,Nephrosclerosis,,HP:0009741,Nephrosclerosis
C0003564,Aphonia,,HP:0001686,Loss of voice
C0033790,Pseudobulbar Palsy,,HP:0007024,Pseudobulbar paralysis
C0495615,Congenital abnormality of skull and face bones,congenital abnormality of skull and face bones,,
C0395986,Other chronic sinusitis, chronic sinusitis,,
C0032227,Pleural effusion disorder,,HP:0002202,Pleural effusion
C1135297,Aftercare following joint replacement,aftercare following joint replacement,,
C0035021,Relapsing Fever,relapsing fever,,
C0302397,"Other hamartoses, not elsewhere classified"," hamartoses, not elsewhere classified",,
C0016842,Congenital pectus excavatum,congenital pectus excavatum,,
C0436064,Other injury of external genitals, injury of external genitals,,
C0042928,Vocal Cord Paralysis,,HP:0001605,Vocal cord paralysis
C0006285,Bronchopneumonia,bronchopneumonia,,
C0029849,Other spinocerebellar diseases, spinocerebellar diseases,,
C0029844,Other specified visual disturbances, specified visual disturbances,,
C0029841,Other specified viral exanthemata, specified viral exanthemata,,
C0029842,Other specified viral infection, specified viral infection,,
C0029843,Other specified viral meningitis, specified viral meningitis,,
C0040409,Tongue Diseases,tongue diseases,,
C0476235,"symptoms concerning nutrition, metabolism, and development","symptoms concerning nutrition, metabolism, and development",,
C0476232,Jaundice (not of newborn),jaundice (not of newborn),,
C1320640,Peripheral degeneration of retina,,HP:0007769,Peripheral retinal degeneration
C0011636,Dermatophytosis,dermatophytosis,,
C0851225,Hemangiomas and lymphangiomas of any site,hemangiomas and lymphangiomas of any site,,
C0452136,"Conductive hearing loss, bilateral",,HP:0008513,Bilateral conductive hearing impairment
C0452138,"Sensorineural hearing loss, bilateral",,HP:0008619,Bilateral sensorineural hearing impairment
C0265041,External hemorrhoids without complication,external hemorrhoids ,,
C0155118,Corneal degeneration,,HP:0007705,Corneal degeneration
C0155119,Recurrent erosion of cornea,,HP:0000495,Recurrent corneal erosions
C0155449,Acute petrositis,acute petrositis,,
C0155447,Chronic mastoiditis,chronic mastoiditis,,
C0155441,Chronic atticoantral suppurative otitis media,chronic atticoantral suppurative otitis media,,
C0013390,Dysmenorrhea,,HP:0100607,Dysmenorrhea
C0338715,Drug-induced depressive state,drug-induced depressive state,,
C0011302,Demyelinating disease of central nervous system,demyelinating disease of central nervous system,,
C0004106,Astigmatism,,HP:0000483,Astigmatism
C0152460,Balanitis xerotica obliterans,balanitis xerotica obliterans,,
C0005411,Biliary Atresia,,HP:0005242,Extrahepatic biliary duct atresia
C0153512,"Malignant neoplasm of vertebral column, excluding sacrum and coccyx","malignant neoplasm of vertebral column, excluding sacrum and coccyx",,
C0153517,Malignant neoplasm of long bones of lower limb,malignant neoplasm of long bones of lower limb,,
C0153519,"Malignant neoplasm of connective and other soft tissue, site unspecified","malignant neoplasm of connective and  soft tissue, site ",,
C0040249,White Piedra,white piedra,,
C0014089,Functional encopresis,functional encopresis,,
C0339440,Other retinal detachments, retinal detachments,,
C0036117,Salmonella infections,salmonella infections,,
C0018051,Gonadal Dysgenesis,,HP:0000133,Gonadal dysgenesis
C0022548,Keloid,,HP:0010562,Keloids
C0859860,Anaphylactic shock due to milk products,anaphylactic shock due to milk products,,
C0264492,Chronic respiratory failure,chronic respiratory failure,,
C0264490,Acute respiratory failure,acute respiratory failure,,
C0264491,Acute-on-chronic respiratory failure,acute-on-chronic respiratory failure,,
C0494776,Other specified functional intestinal disorders, specified functional intestinal disorders,,
C0348461,Other adrenocortical overactivity, adrenocortical overactivity,,
C0033893,Tension Headache,,HP:0012228,Tension-type headache
C0028856,Ocular Torticollis,ocular torticollis,,
C0028850,Ocular Motility Disorders,ocular motility disorders,,
C0949152,Vascular complications of other vessels,vascular complications of  vessels,,
C0002390,Extrinsic allergic alveolitis,,HP:0006516,Hypersensitivity pneumonitis
C0158634,Partial anomalous pulmonary venous connection,,HP:0010773,Partial anomalous pulmonary venous return
C1955545,infection due to central venous catheter,infection due to central venous catheter,,
C0158632,Anomalies of great veins,anomalies of great veins,,
C0158638,Congenital anomaly of cerebrovascular system,congenital anomaly of cerebrovascular system,,
C0480147,Travel and motion as an external cause of morbidity and mortality,travel and motion as an external cause of ity and mortality,,
C0160346,Injury to stomach without mention of open wound into cavity,injury to stomach ,,
C0017677,"Glossitis, Benign Migratory","glossitis, benign migratory",,
C0017675,Glossitis,,HP:0000206,Glossitis
C0160349,"Injury to small intestine, unspecified site, without open wound into cavity","injury to small intestine,  site, ",,
C0029454,Osteopetrosis,,HP:0011002,Osteopetrosis
C0432554,Letterer-Siwe disease of lymph nodes of multiple sites,letterer-siwe disease of lymph nodes of multiple sites,,
C0432552,Letterer-Siwe disease of intrapelvic lymph nodes,letterer-siwe disease of intrapelvic lymph nodes,,
C0260795,no other household member able to render care,no  household member able to render care,,
C0260791,"Housing, household, and economic circumstances","housing, household, and economic circumstances",,
C0260799,Unspecified housing or economic circumstance, housing or economic circumstance,,
C0153663,Malignant neoplasm of pelvis,malignant neoplasm of pelvis,,
C0155325,Alternating esotropia with A pattern,alternating esotropia ,,
C0155324,Monocular esotropia with noncommitance other than A OR V pattern,monocular esotropia ,,
C0155327,Alternating esotropia with noncommitance other than A OR V pattern,alternating esotropia ,,
C0155326,Alternating esotropia with V pattern,alternating esotropia ,,
C0158241,Cervical spondylosis without myelopathy,cervical spondylosis ,,
C0155320,"Blindness, Cortical","blindness, cortical",,
C0155323,Monocular esotropia with V pattern,monocular esotropia ,,
C0155322,Monocular esotropia with A pattern,monocular esotropia ,,
C0153665,malignant neoplasm of lower limb,malignant neoplasm of lower limb,,
C0158249,Other allied disorders of spine, allied disorders of spine,,
C0029679,Other obstruction of duodenum, obstruction of duodenum,,
C0029678,Other non-thrombocytopenic purpura, non-thrombocytopenic purpura,,
C0003044,Animal bite,animal bite,,
C0027066,Myoclonus,,HP:0001336,Myoclonus
C0149931,Migraine Disorders,,HP:0002076,Migraine
C0154666,Cerebral degeneration of childhood in other diseases classified elsewhere,cerebral degeneration of  in  diseases classified elsewhere,,
C0007815,Cerebrospinal Fluid Rhinorrhea,cerebrospinal fluid rhinorrhea,,
C0154661,Intraspinal abscess,intraspinal abscess,,
C0154631,Other specific developmental reading disorder, specific developmental reading disorder,,
C0261517,"Injury due to unintentional cut, puncture, perforation or haemorrhage during aspiration, puncture and other catheterization","injury due to unintentional cut, puncture, perforation or haemorrhage during aspiration, puncture and  catheterization",,
C0154635,Other specified delays in development, specified delays in development,,
C0154637,"psychic; factor, associated with diseases classified elsewhere","psychic; factor, associated ",,
C0154639,Streptococcal meningitis,streptococcal meningitis,,
C0261518,"Injury due to unintentional cut, puncture, perforation or haemorrhage during heart catheterization","injury due to unintentional cut, puncture, perforation or haemorrhage during heart catheterization",,
C0155853,Cellulitis and perichondritis of larynx,cellulitis and perichondritis of larynx,,
C0155852,Other diseases of vocal cords, diseases of vocal cords,,
C0155851,Polyp of vocal cord or larynx,polyp of vocal cord or larynx,,
C0155850,Bilateral total vocal cord paralysis,bilateral total vocal cord paralysis,,
C0155858,Other bacterial pneumonia, bacterial pneumonia,,
C0039445,Hereditary hemorrhagic telangiectasia,hereditary hemorrhagic telangiectasia,,
C0159117,Nonspecific abnormal results of other endocrine function study,nonspecific abnormal results of  endocrine function study,,
C0473508,Delayed Postpartum Hemorrhage,delayed postpartum hemorrhage,,
C0154454,"Unspecified childhood psychosis, residual state"," psychosis, ",,
C0154455,Other anxiety states, anxiety,,
C0154456,Other and unspecified factitious illness, and  factitious illness,,
C0154983,Traumatic cataract,traumatic cataract,,
C0154452,"Other specified pervasive developmental disorders, residual state"," specified pervasive developmental disorders, ",,
C0154453,"Unspecified childhood psychosis, current or active state"," psychosis, ",,
C0041834,Erythema,,HP:0010783,Erythema
C0036323,Schistosomiasis,schistosomiasis,,
C0024005,Acquired postural lordosis,acquired postural lordosis,,
C3161330,Profound intellectual disabilities,,HP:0002187,"Intellectual disability, profound"
C3161331,Unspecified intellectual disabilities, intellectual disabilities,,
C0002946,Aneurysm NEC,aneurysm nec,,
C1719580,"Coagulation defects complicating pregnancy, childbirth, or the puerperium, unspecified as to episode of care or not applicable","coagulation defects complicating pregnancy, childbirth, or the puerperium,  as to episode of care or ",,
C1719586,"Epilepsy complicating pregnancy, childbirth, or the puerperium, unspecified as to episode of care or not applicable","epilepsy complicating pregnancy, childbirth, or the puerperium,  as to episode of care or ",,
C2911064,"Body mass index (BMI) pediatric, 5th percentile to less than 85th percentile for age","body mass index (bmi) pediatric, 5th percentile to less than 85th percentile for age",,
C2911065,"Body mass index (BMI) pediatric, 85th percentile to less than 95th percentile for age","body mass index (bmi) pediatric, 85th percentile to less than 95th percentile for age",,
C2911066,"Body mass index (BMI) pediatric, greater than or equal to 95th percentile for age","body mass index (bmi) pediatric, greater than or equal to 95th percentile for age",,
C2911062,"body mass index, pediatric","body mass index, pediatric",,
C2911063,"Body mass index (BMI) pediatric, less than 5th percentile for age","body mass index (bmi) pediatric, less than 5th percentile for age",,
C0423729,Chest pain on breathing,chest pain on breathing,,
C1456285,Alcohol-induced mental disorders,alcohol-induced mental disorders,,
C0156175,Anal fissure and fistula,anal fissure and fistula,,
C0153987,"Benign neoplasm of skin of trunk, excluding scrotum","benign neoplasm of skin of trunk, excluding scrotum",,
C0153986,Benign neoplasm of scalp and skin of neck,benign neoplasm of scalp and skin of neck,,
C0153985,Benign neoplasm of skin of other and unspecified parts of face,benign neoplasm of skin of  and  parts of face,,
C0153983,Benign neoplasm of eyelid including canthus,benign neoplasm of eyelid including canthus,,
C0153982,Benign neoplasm of skin of lip,benign neoplasm of skin of lip,,
C0153981,Other benign neoplasm of connective and other soft tissue of other specified sites, benign neoplasm of connective and  soft tissue of  specified sites,,
C1318552,Nontraumatic extradural hemorrhage,nontraumatic extradural hemorrhage,,
C0153989,Benign neoplasm of skin of hip and lower limb,benign neoplasm of skin of hip and lower limb,,
C0153988,Benign neoplasm of skin of upper limb or shoulder NOS,benign neoplasm of skin of upper limb or shoulder nos,,
C0029813,Other specified local infections of skin and subcutaneous tissue, specified local infections of skin and subcutaneous tissue,,
C0158406,"Periostitis without mention of osteomyelitis, of the ankle and/or foot",periostitis ,,
C0159802,Closed multiple fractures of hand bones,closed multiple fractures of hand bones,,
C0159804,Ill-defined fractures of upper limb,ill-defined fractures of upper limb,,
C0159805,Closed ill-defined fractures of upper limb,closed ill-defined fractures of upper limb,,
C0554588,"Effusion of joint, pelvic region and thigh","effusion of joint, pelvic region and thigh",,
C0272443,"Elbow, forearm, and wrist injury","elbow, forearm, and wrist injury",,
C0085548,Autosomal Recessive Polycystic Kidney Disease,autosomal recessive polycystic kidney disease,,
C0496946,Neoplasm of uncertain or unknown behavior of pineal gland,neoplasm of uncertain or unknown behavior of pineal gland,,
C1135271,Contact with or exposure to anthrax,contact ,,
C0161759,Mechanical complication of cardiac pacemaker,mechanical complication of cardiac pacemaker,,
C0161751,Asphyxiation and strangulation,asphyxiation and strangulation,,
C0151583,Abnormality of the cerebrospinal fluid,,HP:0002921,Abnormality of the cerebrospinal fluid
C2939130,Other bacterial diseases, bacterial diseases,,
C0153720,"Other named variants of lymphosarcoma and reticulosarcoma, lymph nodes of head, face, and neck"," named variants of lymphosarcoma and reticulosarcoma, lymph nodes of head, face, and neck",,
C0026773,Multiple Personality Disorder,multiple personality disorder,,
C0151766,Liver function tests abnormal finding,liver function tests abnormal finding,,
C0017332,Generalized Nonconvulsive Seizure Disorder,generalized nonconvulsive seizure disorder,,
C0042900,Vitiligo,,HP:0001045,Vitiligo
C0042909,Vitreous Hemorrhage,,HP:0007902,Vitreous hemorrhage
C0416980,Other fall, fall,,
C1719694,Attention to dressings and sutures,attention to dressings and sutures,,
C0392578,Impairment level: one eye: profound impairment: other eye: not specified (disorder),impairment level: one eye: profound impairment:  eye: not specified (disorder),,
C0029866,Other ureteric obstruction, ureteric obstruction,,
C0029867,Other urethritis, urethritis,,
C0392611,Closed bimalleolar fracture,closed bimalleolar fracture,,
C0392618,Postoperative infection,postoperative infection,,
C2362836,"Other forms of migraine, without mention of intractable migraine without mention of status migrainosus"," forms of migraine, ",,
C0520474,Aseptic Necrosis of Bone,aseptic necrosis of bone,,
C0242343,Panhypopituitarism,,HP:0000871,Panhypopituitarism
C0348586,Other secondary hypertension, secondary hypertension,,
C0030567,Parkinson Disease,parkinson disease,,
C0010417,Cryptorchidism,,HP:0000028,Cryptorchidism
C0026654,Moyamoya Disease,moyamoya disease,,
C0260588,"Outcome of delivery, other multiple birth, some liveborn","outcome of delivery,  multiple birth, some liveborn",,
C0155462,Other acute myringitis without mention of otitis media, acute myringitis ,,
C0158983,Neonatal thyrotoxicosis,neonatal thyrotoxicosis,,
C0155460,Acute myringitis,acute myringitis,,
C0155461,Bullous myringitis,bullous myringitis,,
C0158986,Neonatal hypoglycemia,,HP:0001998,Neonatal hypoglycemia
C0158987,Late metabolic acidosis of newborn,late metabolic acidosis of newborn,,
