cui,cui_name,curated_name,hpo,hpo_name
C0260807,Encounter due to legal circumstances,encounter due to legal circumstances,,
C0156171,Vomiting following gastrointestinal surgery,vomiting following gastrointestinal surgery,,
C0272665,Closed fracture of triquetral bone of wrist,closed fracture of triquetral bone of wrist,,
C0159800,Open fracture of multiple sites of phalanx or phalanges of hand,open fracture of multiple sites of phalanx or phalanges of hand,,
C0159142,"Closed fracture of vault of skull without mention of intracranial injury, with no loss of consciousness",closed fracture of vault of skull ,,
C1812606,"Burn, unspecified site","burn,  site",,
C1135270,disruption of external operation wound,disruption of external operation wound,,
C0417584,"Accident due to privation, unqualified","accident due to privation, unqualified",,
C0159751,Open fracture of unspecified part of radius (alone),open fracture of  part of radius (alone),,
C0432769,Contusion of hand,contusion of hand,,
C0432763,Contusion of elbow,contusion of elbow,,
C0432762,Contusion of forearm,contusion of forearm,,
C0476376,Nonspecific (abnormal) findings on radiological and other examination of genitourinary organs,nonspecific (abnormal) findings on radiological and  examination of genitourinary organs,,
C0886366,Encounter due to other acquired absence of organ NEC in ICD9CM,encounter due to  acquired absence of organ,,
C0260682,Tracheostomy status,tracheostomy status,,
C1279573,"Open wound of hip and thigh, without mention of complication","open wound of hip and thigh, ",,
C0273276,Open wound of buccal mucosa without complication,open wound of buccal mucosa ,,
C0273277,"Open wound of gum, uncomplicated","open wound of gum, uncomplicated",,
C0273270,"Open wound of lip, uncomplicated","open wound of lip, uncomplicated",,
C0273271,"Open wound of jaw, uncomplicated","open wound of jaw, uncomplicated",,
C0496716,Family history of diseases of the digestive system,family history of diseases of the digestive system,,
C0949171,Striking against or struck accidentally in running water,striking against or struck accidentally in running water,,
C0949172,Other accident caused by striking against or being struck accidentally by objects or persons, accident caused by striking against or being struck accidentally by objects or persons,,
C0490015,Personal history of other disorders of nervous system and sense organs,personal history of  disorders of nervous system and sense organs,,
C0490014,Personal history of benign neoplasm of the brain,personal history of benign neoplasm of the brain,,
C0160819,"Abrasion or friction burn of face, neck, and scalp except eye, without mention of infection","abrasion or friction burn of face, neck, and scalp except eye, ",,
C0160815,Late effect of complications of procedure,late effect of complications of procedure,,
C0160814,Late effect of radiation,late effect of radiation,,
C0159564,Closed fracture of C1-C4 level with other specified spinal cord injury,closed fracture of c1-c4 level ,,
C0261755,Late effect of accidental poisoning,late effect of accidental poisoning,,
C0152614,"Pulmonary tuberculosis, unspecified, bacteriological or histological examination not done","pulmonary tuberculosis, , bacteriological or histological examination not done",,
C0152615,"Pulmonary tuberculosis, unspecified, bacteriological or histological examination unknown (at present)","pulmonary tuberculosis, , bacteriological or histological examination unknown (at present)",,
C0433815,"Cortex contusion without mention of open intracranial wound, with unspecified state of consciousness",cortex contusion ,,
C0261489,Accidental poisoning by arsenic and its compounds and fumes,accidental poisoning by arsenic and its compounds and fumes,,
C0159850,Closed fracture of patella,closed fracture of patella,,
C0272609,Closed fracture of humerus,closed fracture of humerus,,
C0159820,Open fracture of base of neck of femur,open fracture of base of neck of femur,,
C0496967,Poisoning by insulin and oral hypoglycemic [antidiabetic] drugs,poisoning by insulin and oral hypoglycemic [antidiabetic] drugs,,
C0161771,"Mechanical complication of other specified prosthetic device, implant, and graft","mechanical complication of  specified prosthetic device, implant, and graft",,
C0161770,"Mechanical complication of internal orthopedic device, implant and graft","mechanical complication of internal orthopedic device, implant and graft",,
C0161777,"Infection and inflammatory reaction due to internal prosthetic device, implant, and graft","infection and inflammatory reaction due to internal prosthetic device, implant, and graft",,
C0161778,"Infection and inflammatory reaction due to unspecified device, implant, and graft","infection and inflammatory reaction due to  device, implant, and graft",,
C0159776,Closed fracture of metacarpal bone,closed fracture of metacarpal bone,,
C0016809,cardiac functional disturbances following surgery,cardiac functional disturbances following surgery,,
C2733645,Late effects of other accidents NEC in ICD9CM,late effects of  accidents,,
C0260610,"Encounter due to twin birth, mate liveborn, born before admission to hospital","encounter due to twin birth, mate liveborn, born before admission to hospital",,
C0161569,Poisoning by halothane,poisoning by halothane,,
C0161565,Poisoning by other sedatives and hypnotics,poisoning by  sedatives and hypnotics,,
C0262050,"Poisoning by other and unspecified solid and liquid substances, undetermined whether accidentally or purposely inflicted","poisoning by  and  solid and liquid substances, undetermined whether accidentally or purposely inflicted",,
C0262057,"Poisoning by other carbon monoxide, undetermined whether accidentally or purposely inflicted","poisoning by  carbon monoxide, undetermined whether accidentally or purposely inflicted",,
C0262058,"Poisoning by other specified gases and vapors, undetermined whether accidentally or purposely inflicted","poisoning by  specified gases and vapors, undetermined whether accidentally or purposely inflicted",,
C0260743,Fitting and adjustment of other specified prosthetic device,fitting and adjustment of  specified prosthetic device,,
C0161381,Burn any degree involving 90 percent OR more of body surface,burn any degree involving 90 percent or more of body surface,,
C0274089,Burn of hand,burn of hand,,
C0490030,Closed surgical procedure converted to open procedure,closed surgical procedure converted to open procedure,,
C0160830,"Abrasion or friction burn of trunk, without mention of infection","abrasion or friction burn of trunk, ",,
C0160837,"Superficial foreign body (splinter) of trunk, without major open wound, infected","superficial foreign body (splinter) of trunk, ",,
C0261888,"Other cathartics, including intestinal atonia drugs, causing adverse effects in therapeutic use"," cathartics, including intestinal atonia drugs, causing adverse effects in therapeutic use",,
C0261889,Adverse reaction to digestant,adverse reaction to digestant,,
C0261738,Accident caused by other hot substance or object,accident caused by  hot substance or object,,
C0261739,Accident caused by unspecified hot substance or object,accident caused by  hot substance or object,,
C0261880,Other antihypertensive agents causing adverse effects in therapeutic use, antihypertensive agents causing adverse effects in therapeutic use,,
C0261737,"Accident caused by hot liquid and vapor, including steam","accident caused by hot liquid and vapor, including steam",,
C0006107,Brain Concussion,brain concussion,,
C0159150,"Closed fracture of vault of skull with cerebral laceration and contusion, unspecified state of consciousness",closed fracture of vault of skull ,,
C0159159,"Closed fracture of vault of skull with subarachnoid, subdural, and extradural hemorrhage, unspecified state of consciousness",closed fracture of vault of skull ,,
C0481222,"Unintentional cut, puncture, perforation or haemorrhage during surgical and medical care","unintentional cut, puncture, perforation or haemorrhage during surgical and medical care",,
C0375818,General counseling on initiation of other contraceptive measures,general counseling on initiation of  contraceptive measures,,
C0375817,General counseling on prescription of oral contraceptives,general counseling on prescription of oral contraceptives,,
C0159840,"Closed fracture of femur, lower epiphysis","closed fracture of femur, lower epiphysis",,
C0159842,Other closed fracture of lower end of femur, closed fracture of lower end of femur,,
C0432873,"Abrasion and/or friction burn of foot and/or toe, infected","abrasion and/or friction burn of foot and/or toe, infected",,
C0161719,"Toxic effect of other specified gases, fumes, or vapors","toxic effect of  specified gases, fumes, or vapors",,
C0159718,Other and unspecified closed fractures of proximal end of radius (alone), and  closed fractures of proximal end of radius (alone),,
C0159715,Other and unspecified closed fractures of proximal end of ulna (alone), and  closed fractures of proximal end of ulna (alone),,
C0159716,Closed fracture of head of radius,closed fracture of head of radius,,
C0159717,Closed fracture of neck of radius,closed fracture of neck of radius,,
C0159713,Closed fracture of olecranon process of ulna,closed fracture of olecranon process of ulna,,
C1963710,"Antidotes and chelating agents, not elsewhere classified, causing adverse effects in therapeutic use in ICD9CM","antidotes and chelating agents, not elsewhere classified, causing adverse effects in therapeutic use in icd9cm",,
C0154804,Intraocular foreign body in other or multiple sites,intraocular foreign body in multiple sites,,
C1455903,nonspecific abnormal findings on neonatal screening,nonspecific abnormal findings on neonatal screening,,
C0161543,Poisoning by other opiates and related narcotics,poisoning by  opiates and related narcotics,,
C0161549,Poisoning by other specified analgesics and antipyretics,poisoning by  specified analgesics and antipyretics,,
C0262075,"Falling from residential premises, undetermined whether accidentally or purposely inflicted","falling from residential premises, undetermined whether accidentally or purposely inflicted",,
C0478874,Other fall from one level to another causing accidental injury, fall from one level to an causing accidental injury,,
C0273236,Multiple open wounds without complication,multiple open wounds ,,
C0262078,"Falling from unspecified site, undetermined whether accidentally or purposely inflicted","falling from  site, undetermined whether accidentally or purposely inflicted",,
C0435271,Closed fracture of base of skull without intracranial injury,closed fracture of base of skull ,,
C0395841,Acquired stenosis of external ear canal secondary to surgery,acquired stenosis of external ear canal secondary to surgery,,
C0261112,Noncollision motor vehicle traffic accident while boarding or alighting injuring unspecified person,noncollision motor vehicle traffic accident while boarding or alighting injuring  person,,
C0160852,"Abrasion or friction burn of elbow, forearm, and wrist, without mention of infection","abrasion or friction burn of elbow, forearm, and wrist, ",,
C0261860,Other psychotropic agents causing adverse effects in therapeutic use, psychotropic agents causing adverse effects in therapeutic use,,
C0261713,Accidents caused by unspecified cutting and piercing instrument or object,accidents caused by  cutting and piercing instrument or object,,
C0261864,Opiate antagonists causing adverse effects in therapeutic use,opiate antagonists causing adverse effects in therapeutic use,,
C0261717,"Accidents caused by knives, swords and daggers","accidents caused by knives, swords and daggers",,
C0261868,Parasympathomimetics [cholinergics] causing adverse effects in therapeutic use,parasympathomimetics [cholinergics] causing adverse effects in therapeutic use,,
C0261718,Accidents caused by other hand tools and implements,accidents caused by  hand tools and implements,,
C0261719,Accidents caused by other specified cutting and piercing instruments or objects,accidents caused by  specified cutting and piercing instruments or objects,,
C0868775,"Poisoning by aromatic analgesics, NEC in ICD9CM_2014","poisoning by aromatic analgesics,",,
C2911244,Family history of other diseases of the digestive system,family history of  diseases of the digestive system,,
C1719358,"Encephalitis, myelitis, and encephalomyelitis following immunization procedures","encephalitis, myelitis, and encephalomyelitis following immunization procedures",,
C0375833,Observation for suspected infectious condition,observation for suspected infectious condition,,
C0375835,Observation and evaluation of newborn for suspected respiratory condition,observation and evaluation of newborn for suspected respiratory condition,,
C0161151,Burn of unspecified degree of upper arm,burn of  degree of upper arm,,
C0161486,Poisoning by penicillin,poisoning by penicillin,,
C0375768,Need for prophylactic vaccination and inoculation against single diseases,need for prophylactic vaccination and inoculation against single diseases,,
C0375765,"Other specified vaccinations against hemophilus influenza, type B [Hib]"," specified vaccinations against hemophilus influenza, type b [hib]",,
C0375766,Other specified vaccinations against streptococcus pneumoniae [pneumococcus], specified vaccinations against streptococcus pneumoniae [pneumococcus],,
C0159868,"Open fracture of tibia and/or fibula, shaft","open fracture of tibia and/or fibula, shaft",,
C0159866,Open fracture of shaft of tibia,open fracture of shaft of tibia,,
C0159733,Closed fracture of shaft of ulna (alone),closed fracture of shaft of ulna (alone),,
C0159730,"Closed fracture of radius and ulna, shaft","closed fracture of radius and ulna, shaft",,
C0159737,Open fracture of shaft of ulna (alone),open fracture of shaft of ulna (alone),,
C0159735,"Open fracture of shaft of radius or ulna, unspecified","open fracture of shaft of radius or ulna, ",,
C0159738,Closed fracture of lower end of radius AND ulna,closed fracture of lower end of radius and ulna,,
C0555347,Closed fracture of unspecified part of fibula with tibia,closed fracture of  part of fibula ,,
C0160466,Unspecified open wound of ocular adnexa, open wound of ocular adnexa,,
C0160465,Other specified open wounds of ocular adnexa, specified open wounds of ocular adnexa,,
C0260658,Encounter due to mental and behavioral problems,encounter due to mental and behavioral problems,,
C0260657,Encounter due to other behavioral problems,encounter due to  behavioral problems,,
C0917918,Encounter due to allergy to peanuts,encounter due to allergy to peanuts,,
C0917919,Encounter due to allergy to eggs,encounter due to allergy to eggs,,
C0161611,Poisoning by antacids and antigastric secretion drugs,poisoning by antacids and antigastric secretion drugs,,
C0021138,Encounter due to economic problem,encounter due to economic problem,,
C0161834,Other specified complications of procedures not elsewhere classified, specified complications of procedures not elsewhere classified,,
C0161833,Acute reaction to foreign substance accidentally left during a procedure,acute reaction to foreign substance accidentally left during a procedure,,
C0161831,Foreign body accidentally left during a procedure,foreign body accidentally left during a procedure,,
C0160618,"Open wound of hand except finger(s) alone, with tendon involvement","open wound of hand except finger(s) alone, ",,
C0160612,Open wound of forearm with tendon involvement,open wound of forearm ,,
C0160615,Open wound of hand except finger(s) alone,open wound of hand except finger(s) alone,,
C0160617,"Open wound of hand except finger(s) alone, complicated","open wound of hand except finger(s) alone, complicated",,
C0160616,"Open wound of hand except fingers alone, without mention of complication","open wound of hand except fingers alone, ",,
C0274338,"Mechanical complication of nervous system device, implant AND/OR graft","mechanical complication of nervous system device, implant and/or graft",,
C0261907,Other and unspecified drugs acting on muscles causing adverse effects in therapeutic use, and  drugs acting on muscles causing adverse effects in therapeutic use,,
C0160870,"Superficial foreign body (splinter) of hand(s) except finger(s) alone, without major open wound, infected","superficial foreign body (splinter) of hand(s) except finger(s) alone, ",,
C0261846,Adverse effects in the therapeutic use of other and unspecified general anaesthetics,adverse effects in the therapeutic use of  and  general anaesthetics,,
C0261844,Other gaseous anesthetics causing adverse effects in therapeutic use, gaseous anesthetics causing adverse effects in therapeutic use,,
C0261845,Intravenous anesthetics causing adverse effects in therapeutic use,intravenous anesthetics causing adverse effects in therapeutic use,,
C0261840,Unspecified sedatives and hypnotics causing adverse effects in therapeutic use, sedatives and hypnotics causing adverse effects in therapeutic use,,
C0261849,Spinal anesthetics causing adverse effects in therapeutic use,spinal anesthetics causing adverse effects in therapeutic use,,
C0260467,Personal history of diseases of blood and blood-forming organs,personal history of diseases of blood and blood-forming organs,,
C0260466,"Personal history of endocrine, metabolic, and immunity disorders","personal history of endocrine, metabolic, and immunity disorders",,
C0260465,Personal history of nutritional deficiency,personal history of nutritional deficiency,,
C0260462,Personal history of unspecified mental disorder,personal history of  mental disorder,,
C0260461,Personal history of other mental disorders,personal history of  mental disorders,,
C0260469,Personal history of diseases of the circulatory system,personal history of diseases of the circulatory system,,
C0261594,"Urinary catheterisation as the cause of abnormal reaction of the patient, or of later complication, without mention of misadventure at the time of the procedure","urinary catheterisation as the cause of abnormal reaction of the patient, or of later complication, ",,
C0261596,"Other specified procedures as the cause of abnormal reaction of patient, or of later complication, without mention of misadventure at time of procedure"," specified procedures as the cause of abnormal reaction of patient, or of later complication, ",,
C0261597,"Unspecified procedure as the cause of abnormal reaction of patient, or of later complication, without mention of misadventure at time of procedure"," procedure as the cause of abnormal reaction of patient, or of later complication, ",,
C0261590,"Radiological procedure and radiotherapy as the cause of abnormal reaction of the patient, or of later complication, without mention of misadventure at the time of the procedure","radiological procedure and radiapy as the cause of abnormal reaction of the patient, or of later complication, ",,
C0159862,Closed fracture of shaft of tibia,closed fracture of shaft of tibia,,
C0160519,Open wound of cheek with complication,open wound of cheek ,,
C0740088,Personal history of unspecified circulatory disease,personal history of  circulatory disease,,
C0007235,Physical therapy NEC in ICD9CM_2014,physical therapy,,
C0007234,Care involving occupational therapy and vocational rehabilitation,care involving occupational therapy and vocational rehabilitation,,
C0869442,"Unspecified complication of procedure, NEC in ICD9CM_2014"," complication of procedure,",,
C0375854,Other finger(s) amputation status, finger(s) amputation status,,
C0375852,Percutaneous transluminal coronary angioplasty status,percutaneous transluminal coronary angioplasty status,,
C0375851,Presence of other contraceptive device,presence of  contraceptive device,,
C0481845,Other general medical examination for administrative purposes, general medical examination for administrative purposes,,
C0260889,Special screening examination for other specified viral diseases,special screening examination for  specified viral diseases,,
C0375681,"Burn of upper limb, except wrist and hand, unspecified degree","burn of upper limb, except wrist and hand,  degree",,
C0159088,Nonspecific (abnormal) findings on radiological and other examination of other intrathoracic organs,nonspecific (abnormal) findings on radiological and  examination of  intrathoracic organs,,
C0159089,Nonspecific (abnormal) findings on radiological and other examination of biliary tract,nonspecific (abnormal) findings on radiological and  examination of biliary tract,,
C0311335,Grand Mal Status Epilepticus,grand mal status epilepticus,,
C0435533,"Closed fracture proximal humerus, greater tuberosity","closed fracture proximal humerus, greater tuberosity",,
C0476664,Immunization not carried out for other reasons,immunization not carried out for  reasons,,
C0000908,Accident caused by caustic and corrosive substances,accident caused by caustic and corrosive substances,,
C1719670,"Unspecified adverse effect of other drug, medicinal and biological substance"," adverse effect of  drug, medicinal and biological substance",,
C0302441,"Accidental poisoning by other specified solvents, not elsewhere classified","accidental poisoning by  specified solvents, not elsewhere classified",,
C0029711,Other plastic surgery for unacceptable cosmetic appearance, plastic surgery for unacceptable cosmetic appearance,,
C0261102,Noncollision motor vehicle traffic accident while boarding or alighting,noncollision motor vehicle traffic accident while boarding or alighting,,
C0154595,Adjustment reaction with withdrawal,adjustment reaction ,,
C0154592,Other specified adjustment reactions, specified adjustment reactions,,
C0260752,Fitting and adjustment of urinary device,fitting and adjustment of urinary device,,
C2240395,Late effect of other and unspecified external causes NEC,late effect of  and  external causes nec,,
C3161458,"Anaphylactic reaction due to serum, not elsewhere classified","anaphylactic reaction due to serum, not elsewhere classified",,
C0348773,Encounter for other specified counseling,encounter for  specified counseling,,
C0159863,Closed fracture of shaft of fibula,closed fracture of shaft of fibula,,
C2910575,Encounter for screening for respiratory tuberculosis,encounter for screening for respiratory tuberculosis,,
C0159864,"Closed fracture of tibia and fibula, shaft","closed fracture of tibia and fibula, shaft",,
C0272769,Closed fracture of ankle,closed fracture of ankle,,
C0435940,Closed fracture of navicular bone of foot,closed fracture of navicular bone of foot,,
C0435944,Closed fracture of metatarsal bone,closed fracture of metatarsal bone,,
C0159734,Open fracture of shaft of radius AND ulna,open fracture of shaft of radius and ulna,,
C0161679,Toxic effect of ethyl alcohol,toxic effect of ethyl alcohol,,
C2919132,Encounter due to history of falling,encounter due to history of falling,,
C0161671,Poisoning by typhus vaccine,poisoning by typhus vaccine,,
C0160098,Other sprain of foot, sprain of foot,,
C1961127,Screening examination for venereal disease in ICD9CM_2008,screening examination for venereal disease in icd9cm_2008,,
C0160093,Sprain of foot,sprain of foot,,
C0160092,Other sprains and strains of ankle, sprains and strains of ankle,,
C0160091,Sprain of distal tibiofibular ligament,sprain of distal tibiofibular ligament,,
C0160090,Calcaneofibular (ligament) ankle sprain,calcaneofibular (ligament) ankle sprain,,
C0160094,Unspecified site of foot sprain, site of foot sprain,,
C0013080,Down Syndrome,down syndrome,,
C0261829,Other and unspecified anticonvulsants causing adverse effects in therapeutic use, and  anticonvulsants causing adverse effects in therapeutic use,,
C0261824,Unspecified analgesic and antipyretic causing adverse effects in therapeutic use, analgesic and antipyretic causing adverse effects in therapeutic use,,
C0261827,Hydantoin derivatives causing adverse effects in therapeutic use,hydantoin derivatives causing adverse effects in therapeutic use,,
C0730521,Gestation less than 24 weeks,gestation less than 24 weeks,,
C0730522,"Gestation period, 24 weeks","gestation period, 24 weeks",,
C0260339,Encounter due to contact with or exposure to communicable diseases,encounter due to contact ,,
C0260449,Personal history of other malignant neoplasm of skin,personal history of  malignant neoplasm of skin,,
C0260448,Personal history of malignant melanoma of skin,personal history of malignant melanoma of skin,,
C0260445,Personal history of hodgkin's disease,personal history of hodgkin's disease,,
C0260447,Personal history of malignant neoplasm of bone,personal history of malignant neoplasm of bone,,
C0260446,Personal history of malignant neoplasm of other sites,personal history of malignant neoplasm of  sites,,
C0375878,Encounter due to being other blood donor,encounter due to being  blood donor,,
C0375874,"Fitting and adjustment of nonvascular catheter, NEC","fitting and adjustment of nonvascular catheter, nec",,
C0375871,Long-term (current) use of other medications,long-term (current) use of  medications,,
C0375873,Fitting and adjustment of vascular catheter,fitting and adjustment of vascular catheter,,
C0375872,Encounter for other specified procedures and aftercare,encounter for  specified procedures and aftercare,,
C0375727,seroma as procedural complication,seroma as procedural complication,,
C0435553,Closed fracture of medial condyle of humerus,closed fracture of medial condyle of humerus,,
C0435552,"Closed fracture distal humerus, lateral epicondyle","closed fracture distal humerus, lateral epicondyle",,
C2911331,Personal history of pneumonia (recurrent),personal history of pneumonia (recurrent),,
C0000929,Home Accidents,home accidents,,
C0000924,Accidents,accidents,,
C0416674,Accidental poisoning by adrenergics,accidental poisoning by adrenergics,,
C0274167,Burn of foot,burn of foot,,
C0302428,"Other serum reaction, NEC in ICD9CM"," serum reaction,",,
C0302426,"Other vascular complications of medical care, NEC in ICD9CM"," vascular complications of medical care,",,
C0302427,"Other infection due to medical care, NEC in ICD9CM"," infection due to medical care,",,
C0017394,Encounter for Genetic screening NEC in ICD9CM,encounter for genetic screening,,
C0302422,"Other specified complications of procedures, NEC in ICD9CM"," specified complications of procedures,",,
C0160938,Contusion of elbow and forearm,contusion of elbow and forearm,,
C2921284,Personal history of (corrected) hypospadias,personal history of (corrected) hypospadias,,
C2921283,Personal history of (corrected) congenital malformations,personal history of (corrected) congenital malformations,,
C0160931,Contusion upper limb,contusion upper limb,,
C0160933,Contusion of shoulder region,contusion of shoulder region,,
C0160935,Contusion of axillary region,contusion of axillary region,,
C0160936,Contusion upper arm,contusion upper arm,,
C0261123,Other noncollision motor vehicle traffic accident injuring unspecified person, noncollision motor vehicle traffic accident injuring  person,,
C0261125,Motor vehicle traffic accident of unspecified nature injuring passenger in motor vehicle other than motorcycle,motor vehicle traffic accident of  nature injuring passenger in motor vehicle  than motorcycle,,
C0261406,Accidental poisoning by other specified tranquilizers,accidental poisoning by  specified tranquilizers,,
C0159251,"Closed fracture of base of skull with subarachnoid, subdural, and extradural hemorrhage, with no loss of consciousness",closed fracture of base of skull ,,
C0273292,Open wound of pharynx without complication,open wound of pharynx ,,
C0160655,"Open wound of toe, without mention of complication","open wound of toe, ",,
C0160651,"Open wound of foot except toe(s) alone, without mention of complication","open wound of foot except toe(s) alone, ",,
C0160653,"Open wound of foot except toe(s) alone, with tendon involvement","open wound of foot except toe(s) alone, ",,
C0160652,"Open wound of foot except toe(s) alone, complicated","open wound of foot except toe(s) alone, complicated",,
C1260459,Insulin pump status,insulin pump status,,
C0161656,Poisoning by other specified drugs and medicinal substances,poisoning by  specified drugs and medicinal substances,,
C1260452,Need for prophylactic vaccination and inoculation against influenza,need for prophylactic vaccination and inoculation against influenza,,
C1260455,Encounter due to history of Extracorporeal Membrane Oxygenation [ECMO],encounter due to history of extracorporeal membrane oxygenation [ecmo],,
C1260454,Need for prophylactic vaccination and inoculation against other viral diseases,need for prophylactic vaccination and inoculation against  viral diseases,,
C0261948,Other and unspecified viral and rickettsial vaccines causing adverse effects in therapeutic use, and  viral and rickettsial vaccines causing adverse effects in therapeutic use,,
C0261806,Adverse effects in the therapeutic use of anticoagulants,adverse effects in the therapeutic use of anticoagulants,,
C0261809,Anticoagulant antagonists and other coagulants causing adverse effects in therapeutic use,anticoagulant antagonists and  coagulants causing adverse effects in therapeutic use,,
C0040701,Adjustment reaction,adjustment reaction,,
C2911489,Encounter due to cutaneous-vesicostomy status,encounter due to cutaneous-vesicostomy status,,
C0695256,Infection and inflammatory reaction due to peritoneal dialysis catheter,infection and inflammatory reaction due to peritoneal dialysis catheter,,
C0695259,Family history of other kidney diseases,family history of  kidney diseases,,
C0261374,Accidents occurring in industrial places and premises,accidents occurring in industrial places and premises,,
C0261375,Accidents occurring in place for recreation and sport,accidents occurring in place for recreation and sport,,
C0261376,Street and highway accidents,street and highway accidents,,
C0261377,Accidents occurring in public building,accidents occurring in public building,,
C0261378,accident occurred in residential institution,accident occurred in residential institution,,
C0261379,Accidents occurring in other specified places,accidents occurring in  specified places,,
C0159140,Closed fracture of vault of skull without mention of intracranial injury,closed fracture of vault of skull ,,
C0015584,Encounter due to family history of consanguinity,encounter due to family history of consanguinity,,
C0159336,"Open fracture of mandible, condylar process","open fracture of mandible, condylar process",,
C0375893,Observation and evaluation for suspected conditions not found,observation and evaluation for suspected conditions not found,,
C0375892,Encounter for palliative care,encounter for palliative care,,
C0375897,"Pre-operative examination, unspecified","pre-operative examination, ",,
C0375896,Other specified pre-operative examination, specified pre-operative examination,,
C0375895,Pre-operative respiratory examination,pre-operative respiratory examination,,
C0375894,Enocunter for preoperative cardiovascular examination,enocunter for preoperative cardiovascular examination,,
C0161797,"Other complications due to other internal prosthetic device, implant, and graft"," complications due to  internal prosthetic device, implant, and graft",,
C0161796,"Other complications due to other internal orthopedic device, implant, and graft"," complications due to  internal orthopedic device, implant, and graft",,
C0161794,"Other complications due to genitourinary device, implant, and graft"," complications due to genitourinary device, implant, and graft",,
C0161792,"Other complications due to other vascular device, implant, and graft"," complications due to  vascular device, implant, and graft",,
C0161790,"Other complications due to other cardiac device, implant, and graft"," complications due to  cardiac device, implant, and graft",,
C1401143,status; intestinal bypass,status; intestinal bypass,,
C0496180,"Late effect of poisoning due to drug, medicinal AND/OR biological substance","late effect of poisoning due to drug, medicinal and/or biological substance",,
C0260959,Encounter due to screening for nephropathy,encounter due to screening for nephropathy,,
C0260958,Screening for other and unspecified respiratory conditions,screening for  and  respiratory conditions,,
C0260951,Screening for other eye conditions,screening for  eye conditions,,
C0339150,Closed fracture of orbital floor (blow-out),closed fracture of orbital floor (blow-out),,
C2712543,Personal history of contact with and (suspected) exposure to potentially hazardous body fluids,personal history of contact ,,
C0274638,Poisoning by sedative AND/OR hypnotic,poisoning by sedative and/or hypnotic,,
C0302408,"Toxic effect of other pesticides, NEC in ICD9CM_2014","toxic effect of  pesticides,",,
C0302409,Certain adverse effects NEC in ICD9CM_2014,certain adverse effects,,
C0160918,"Contusion of face, scalp and neck, excluding eye(s)","contusion of face, scalp and neck, excluding eye(s)",,
C0160914,"Superficial foreign body (splinter) of other, multiple, and unspecified sites, without major open wound and without mention of infection","superficial foreign body (splinter) of , multiple, and  sites, ",,
C0159683,Other closed fracture of upper end of humerus, closed fracture of upper end of humerus,,
C0159680,Closed fracture of surgical neck of humerus,closed fracture of surgical neck of humerus,,
C0412991,Toxic effect of manganese AND/OR its compounds,toxic effect of manganese and/or its compounds,,
C0260760,Encounter for attention to tracheostomy,encounter for attention to tracheostomy,,
C0260761,Encounter for attention to gastrostomy,encounter for attention to gastrostomy,,
C0260762,Encounter for attention to ileostomy,encounter for attention to ileostomy,,
C0260764,Encounter for attention to other artificial openings of digestive tract,encounter for attention to  artificial openings of digestive tract,,
C0260765,Encounter for attention to cystostomy,encounter for attention to cystostomy,,
C0260766,Encounter for attention to other artificial openings of urinary tract,encounter for attention to  artificial openings of urinary tract,,
C1455982,Routine gynecological examination,routine gynecological examination,,
C1455980,Encounter due to lack of adequate sleep,encounter due to lack of adequate sleep,,
C1455986,Special investigations and examinations - Gynecological examination,special investigations and examinations - gynecological examination,,
C0261148,Nontraffic accident involving other off-road motor vehicle injuring motorcyclist,nontraffic accident involving  off-road motor vehicle injuring motorcyclist,,
C0261146,Nontraffic accident involving other off-road motor vehicle injuring driver of motor vehicle other than motorcycle,nontraffic accident involving  off-road motor vehicle injuring driver of motor vehicle  than motorcycle,,
C1455988,"Pregnancy examination or test, negative result","pregnancy examination or test, negative result",,
C0159233,"Closed fracture of base of skull without mention of intracranial injury, with no loss of consciousness",closed fracture of base of skull ,,
C0159232,"Closed fracture of base of skull without mention of intracranial injury, unspecified state of consciousness",closed fracture of base of skull ,,
C0546841,"Accident due to exposure (to weather conditions), not elsewhere classifiable","accident due to exposure (to weather conditions), not elsewhere classifiable",,
C0272729,Closed fracture of femur,closed fracture of femur,,
C0159904,Other open fracture of tarsal and metatarsal bones, open fracture of tarsal and metatarsal bones,,
C0273412,Open wound of toe(s) with complication,open wound of toe(s) ,,
C0273413,Open wound of toe(s) with tendon involvement,open wound of toe(s) ,,
C0435903,"Closed fracture of tibia and fibula, proximal","closed fracture of tibia and fibula, proximal",,
C0161632,Poisoning by skeletal muscle relaxant,poisoning by skeletal muscle relaxant,,
C0161633,Poisoning by other and unspecified drugs acting on muscles,poisoning by  and  drugs acting on muscles,,
C0161328,"Burn [any degree] involving less than 10 percent of body surface with third degree burn, less than 10 percent or unspecified",burn [any degree] involving less than 10 percent of body surface ,,
C0261961,Suicide and self-inflicted poisoning by other and unspecified solid and liquid substances,suicide and self-inflicted poisoning by  and  solid and liquid substances,,
C0274829,Toxic effect of chiefly nonmedicinal substance,toxic effect of chiefly nonmedicinal substance,,
C0740209,Encounter due to counseling,encounter due to counseling,,
C0418593,Unspecified misadventure during medical care, misadventure during medical care,,
C0695274,Poisoning by propionic acid derivatives,poisoning by propionic acid derivatives,,
C0261681,Accidental drowning and submersion while engaged in other sport or recreational activity without diving equipment,accidental drowning and submersion while engaged in  sport or recreational activity ,,
C0261683,Accidental drowning and submersion in bathtub,accidental drowning and submersion in bathtub,,
